No,code,assay,species,ind,trt,spore,leaf,rep,tubes,count.mu,spores_cm2,count.sd,date_counted,water,p.area,manual,remove,notes
1,L_ACMA1S_1T,L,ACMA,1,T,S,1,1,.2 ml,10.8,878.0487805,1.97,25-Jun,1,1,1,,"H2Odone manually. lesions were light, but def entire leaf area"
2,L_ACMA1S_2T,L,ACMA,1,T,S,2,2,.2 ml,0.6,48.7804878,0.28,27-Jun,0,0.37139,0,,~5 ul plated for sp. too little vol.
3,L_ACMA1S_3T,L,ACMA,1,T,S,3,3,.2 ml,0,0,0,27-Jun,0,0.48393,0,,
4,L_ACMA1S_4T,L,ACMA,1,T,S,4,4,.2 ml,0.2,16.2601626,0.16,27-Jun,0,0.5242,0,,
5,L_ACMA1S_5T,L,ACMA,1,T,S,5,5,.2 ml,1.7,138.2113821,0.84,27-Jun,0,0.87241,0,,
6,L_ACMA1S_6T,L,ACMA,1,T,S,6,6,.2 ml,0.45,36.58536585,0.19,27-Jun,0,0.65232,0,,
7,L_ACMA1S_1W,L,ACMA,1,W,S,1,1,.2 ml,0,0,0,26-Jun,1,4.64E-06,1,,H2O
8,L_ACMA1S_2W,L,ACMA,1,W,S,2,2,.2 ml,0,0,0,19-Jul,0,2.74E-05,1,,
9,L_ACMA1S_3W,L,ACMA,1,W,S,3,3,.2 ml,0,0,0,19-Jul,0,1.95E-05,1,,
10,L_ACMA1S_4W,L,ACMA,1,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
11,L_ACMA1S_5W,L,ACMA,1,W,S,5,5,.2 ml,0,0,0,19-Jul,0,3.67E-05,1,,
12,L_ACMA1S_6W,L,ACMA,1,W,S,6,6,.2 ml,0,0,0,19-Jul,0,4.37E-05,1,,
13,L_ACMA2S_1T,L,ACMA,2,T,S,1,1,.2 ml,7.95,646.3414634,2.09,25-Jun,1,1,1,,"H2Olesion area appears spread out across entire disc, but faint...done manually"
14,L_ACMA2S_2T,L,ACMA,2,T,S,2,2,.2 ml,0.2,16.2601626,0,27-Jun,0,1,1,,
15,L_ACMA2S_3T,L,ACMA,2,T,S,3,3,.2 ml,0.27,21.95121951,0.46,27-Jun,0,0.833,0,,
16,L_ACMA2S_4T,L,ACMA,2,T,S,4,4,.2 ml,0.27,21.95121951,0.31,27-Jun,0,1,1,,
17,L_ACMA2S_5T,L,ACMA,2,T,S,5,5,.2 ml,0.6,48.7804878,0.35,27-Jun,0,1,1,,
18,L_ACMA2S_6T,L,ACMA,2,T,S,6,6,.2 ml,1.27,103.2520325,0.76,27-Jun,0,1,1,,
19,L_ACMA2S_1W,L,ACMA,2,W,S,1,1,.2 ml,0.1,8.130081301,0.2,26-Jun,1,0,1,,H2O
20,L_ACMA2S_2W,L,ACMA,2,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
21,L_ACMA2S_3W,L,ACMA,2,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
22,L_ACMA2S_4W,L,ACMA,2,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
23,L_ACMA2S_5W,L,ACMA,2,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
24,L_ACMA2S_6W,L,ACMA,2,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0,1,,
25,L_ACMA3S_1T,L,ACMA,3,T,S,1,1,.2 ml,25.07,2038.211382,5.1,25-Jun,1,1,1,,"H2Olesion area appears spread out across entire disc, but faint...done manually"
26,L_ACMA3S_2T,L,ACMA,3,T,S,2,2,.2 ml,25.6,2081.300813,13.36,27-Jun,0,1,1,,so many! is it PR. gonna subculture.done manually
27,L_ACMA3S_3T,L,ACMA,3,T,S,3,3,.2 ml,14.7,1195.121951,2.64,27-Jun,0,1,1,,done manually
28,L_ACMA3S_4T,L,ACMA,3,T,S,4,4,.2 ml,22.1,1796.747967,3.81,27-Jun,0,1,1,,done manually
29,L_ACMA3S_5T,L,ACMA,3,T,S,5,5,.2 ml,18.4,1495.934959,2.12,27-Jun,0,1,1,,done manually
30,L_ACMA3S_6T,L,ACMA,3,T,S,6,6,.2 ml,28.8,2341.463415,5.61,27-Jun,0,1,1,,done manually
31,L_ACMA3S_1W,L,ACMA,3,W,S,1,1,.2 ml,0.73,59.3495935,0.23,26-Jun,0,0,1,,"H2O, plated on parp but no growth. clearly sporangia though...not really sure if ramorum"
32,L_ACMA3S_2W,L,ACMA,3,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0,1,,
33,L_ACMA3S_3W,L,ACMA,3,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
34,L_ACMA3S_4W,L,ACMA,3,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
35,L_ACMA3S_5W,L,ACMA,3,W,S,5,5,.2 ml,0,0,0,19-Jul,0,0,1,,
36,L_ACMA3S_6W,L,ACMA,3,W,S,6,6,.2 ml,0,0,0,19-Jul,0,0,1,,
37,L_ARME1S_1T,L,ARME,1,T,S,1,1,.2 ml,0.2,16.2601626,0.23,26-Jun,1,0.000258677,1,,H2Odone manually
38,L_ARME1S_2T,L,ARME,1,T,S,2,2,.2 ml,0.27,21.95121951,0.46,26-Jun,0,0.35703,0,,~5-8 plated for sp.
39,L_ARME1S_3T,L,ARME,1,T,S,3,3,.2 ml,0.33,26.82926829,0.12,26-Jun,0,0.39797,0,,
40,L_ARME1S_4T,L,ARME,1,T,S,4,4,.2 ml,0.27,21.95121951,0.12,26-Jun,0,0.77061,0,,
41,L_ARME1S_5T,L,ARME,1,T,S,5,5,.2 ml,0,0,0,26-Jun,0,0.13843,0,,
42,L_ARME1S_6T,L,ARME,1,T,S,6,6,.2 ml,0,0,0,26-Jun,0,0.002590019,1,,"H2O, things like sporangia but too darkdone manually"
43,L_ARME1S_1W,L,ARME,1,W,S,1,1,.2 ml,0,0,0,19-Jul,0,1.72E-05,1,,
44,L_ARME1S_2W,L,ARME,1,W,S,2,2,.2 ml,0,0,0,19-Jul,0,0.000576334,1,,
45,L_ARME1S_3W,L,ARME,1,W,S,3,3,.2 ml,0,0,0,19-Jul,0,0,1,,
46,L_ARME1S_4W,L,ARME,1,W,S,4,4,.2 ml,0,0,0,19-Jul,0,0,1,,
47,L_ARME1S_5W,L,ARME,1,W,S,5,5,.2 ml,0,0,0,19-Jul,0,4.83E-05,1,,
