"species","ind","trt","leaf","water","countC","countS","p.areaC","p.areaS","areaC","areaS","avg.area","C.per.area","S.per.area","SC_ratio"
"ACMA",1,"T",1,1,335,1080,1,1,1.227,1.227,1.227,273.023634881826,880.195599022005,3.22388059701493
"ACMA",1,"T",2,0,890,60,0.66306,0.37139,0.81357462,0.45569553,0.81357462,1093.93776320112,131.666860985009,0.0674157303370786
"ACMA",1,"T",3,0,520,0,0.58817,0.48393,0.72168459,0.59378211,0.72168459,720.536377255887,0,0
"ACMA",1,"T",4,0,1010,20,0.49643,0.5242,0.60911961,0.6431934,0.60911961,1658.13082261463,31.0948464334367,0.0198019801980198
"ACMA",1,"T",5,0,960,170,0.73226,0.87241,0.89848302,1.07044707,0.89848302,1068.46760442952,158.812149394738,0.177083333333333
"ACMA",1,"T",6,0,60,45,0.71658,0.65232,0.87924366,0.80039664,0.87924366,68.240469314274,56.2221250703901,0.75
"ACMA",1,"W",1,1,0,0,2.04e-05,4.64e-06,2.50308e-05,5.69328e-06,2.50308e-05,0,0,NA
"ACMA",1,"W",2,0,0,0,3.2e-05,2.74e-05,3.9264e-05,3.36198e-05,3.9264e-05,0,0,NA
"ACMA",1,"W",3,0,0,0,6.64e-05,1.95e-05,8.14728e-05,2.39265e-05,8.14728e-05,0,0,NA
"ACMA",1,"W",4,0,0,0,1.16e-05,0,1.42332e-05,0,1.42332e-05,0,NA,NA
"ACMA",1,"W",5,0,0,0,0,3.67e-05,0,4.50309e-05,0,NA,0,NA
"ACMA",1,"W",6,0,0,0,2.65e-05,4.37e-05,3.25155e-05,5.36199e-05,3.25155e-05,0,0,NA
"ACMA",2,"T",1,1,480,795,1,1,1.227,1.227,1.227,391.19804400978,647.921760391198,1.65625
"ACMA",2,"T",2,0,750,20,0.8404,1,1.0311708,1.227,1.0311708,727.32858610814,16.2999185004075,0.0266666666666667
"ACMA",2,"T",3,0,1750,27,0.63392,0.833,0.77781984,1.022091,0.77781984,2249.8783265801,26.4164345444779,0.0154285714285714
"ACMA",2,"T",4,0,1700,27,1,1,1.227,1.227,1.227,1385.49307253464,22.0048899755501,0.0158823529411765
"ACMA",2,"T",5,0,1420,60,1,1,1.227,1.227,1.227,1157.29421352893,48.8997555012225,0.0422535211267606
"ACMA",2,"T",6,0,1460,127,1,1,1.227,1.227,1.227,1189.89405052975,103.504482477588,0.086986301369863
"ACMA",2,"W",1,1,0,10,0.001093687,0,0.001341953949,0,0.001341953949,0,Inf,Inf
"ACMA",2,"W",2,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",2,"W",3,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",2,"W",4,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",2,"W",5,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",2,"W",6,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",3,"T",1,1,106.67,2507,1,1,1.227,1.227,1.227,86.9356153219234,2043.19478402608,23.5023905502953
"ACMA",3,"T",2,0,10,2560,1,1,1.227,1.227,1.227,8.14995925020375,2086.38956805216,256
"ACMA",3,"T",3,0,340,1470,1,1,1.227,1.227,1.227,277.098614506927,1198.04400977995,4.32352941176471
"ACMA",3,"T",4,0,120,2210,1,1,1.227,1.227,1.227,97.799511002445,1801.14099429503,18.4166666666667
"ACMA",3,"T",5,0,135,1840,1,1,1.227,1.227,1.227,110.024449877751,1499.59250203749,13.6296296296296
"ACMA",3,"T",6,0,35,2880,1,1,1.227,1.227,1.227,28.5248573757131,2347.18826405868,82.2857142857143
"ACMA",3,"W",1,0,0,73,0,0,0,0,0,NA,Inf,Inf
"ACMA",3,"W",2,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",3,"W",3,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",3,"W",4,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",3,"W",5,0,0,0,0,0,0,0,0,NA,NA,NA
"ACMA",3,"W",6,0,0,0,0,0,0,0,0,NA,NA,NA
"ARME",1,"T",1,1,90,20,0.31665,0.000258677,0.38852955,0.000317396679,0.38852955,231.642612511712,63012.631584592,0.222222222222222
"ARME",1,"T",2,0,10,27,0.45831,0.35703,0.56234637,0.43807581,0.56234637,17.7826345709318,61.6331680126323,2.7
"ARME",1,"T",3,0,36,33,0.64624,0.39797,0.79293648,0.48830919,0.79293648,45.4008623742472,67.5801329891006,0.916666666666667
"ARME",1,"T",4,0,22,27,0.24177,0.77061,0.29665179,0.94553847,0.29665179,74.1610222544081,28.5551575706909,1.22727272727273
"ARME",1,"T",5,0,24,0,0.18539,0.13843,0.22747353,0.16985361,0.22747353,105.506781382432,0,0
"ARME",1,"T",6,0,97,0,0.57608,0.002590019,0.70685016,0.003177953313,0.70685016,137.228518134593,0,0
"ARME",1,"W",1,0,0,0,1.63e-05,1.72e-05,2.00001e-05,2.11044e-05,2.00001e-05,0,0,NA
"ARME",1,"W",2,0,0,0,0,0.000576334,0,0.000707161818,0,NA,0,NA
"ARME",1,"W",3,0,NA,0,NA,0,NA,0,0,NA,NA,NA
"ARME",1,"W",4,0,0,0,2.69e-05,0,3.30063e-05,0,3.30063e-05,0,NA,NA
"ARME",1,"W",5,0,0,0,6.32e-05,4.83e-05,7.75464e-05,5.92641e-05,7.75464e-05,0,0,NA
"ARME",1,"W",6,1,0,10,3.76e-05,1.76e-05,4.61352e-05,2.15952e-05,4.61352e-05,0,463065.866488849,Inf
"ARME",2,"T",1,0,80,13,0.72573,0.83153,0.89047071,1.02028731,0.89047071,89.840125117647,12.7415090559148,0.1625
"ARME",2,"T",2,0,0,60,0.87211,0.70099,1.07007897,0.86011473,1.07007897,0,69.7581356384863,Inf
"ARME",2,"T",3,0,166,7,0.96814,0.66571,1.18790778,0.81682617,1.18790778,139.741487340036,8.56975481086753,0.0421686746987952
"ARME",2,"T",4,0,22,40,0.73393,0.91328,0.90053211,1.12059456,0.90053211,24.4300006137482,35.6953365898903,1.81818181818182
"ARME",2,"T",5,0,0,0,0.60695,0.33667,0.74472765,0.41309409,0.74472765,0,0,NA
"ARME",2,"T",6,1,89,0,0.8425,0.004490388,1.0337475,0.005509706076,1.0337475,86.0945250169892,0,0
"ARME",2,"W",1,0,0,0,1.67e-05,1.67e-05,2.04909e-05,2.04909e-05,2.04909e-05,0,0,NA
"ARME",2,"W",2,0,0,0,2.09e-05,1.3e-05,2.56443e-05,1.5951e-05,2.56443e-05,0,0,NA
"ARME",2,"W",3,0,0,0,1.21e-05,5.53e-05,1.48467e-05,6.78531e-05,1.48467e-05,0,0,NA
