No,code,assay,species,ind,trt,spore,leaf,rep,tubes,notes
1,L_ACMA1S_1T,L,ACMA,1,T,S,1,1,.2 ml,
2,L_ACMA1S_2T,L,ACMA,1,T,S,2,2,.2 ml,~5 ul plated for sp. too little vol.
3,L_ACMA1S_3T,L,ACMA,1,T,S,3,3,.2 ml,
4,L_ACMA1S_4T,L,ACMA,1,T,S,4,4,.2 ml,
5,L_ACMA1S_5T,L,ACMA,1,T,S,5,5,.2 ml,
6,L_ACMA1S_6T,L,ACMA,1,T,S,6,6,.2 ml,
7,L_ACMA1S_1W,L,ACMA,1,W,S,1,1,.2 ml,
8,L_ACMA1S_2W,L,ACMA,1,W,S,2,2,.2 ml,
9,L_ACMA1S_3W,L,ACMA,1,W,S,3,3,.2 ml,
10,L_ACMA1S_4W,L,ACMA,1,W,S,4,4,.2 ml,
11,L_ACMA1S_5W,L,ACMA,1,W,S,5,5,.2 ml,
12,L_ACMA1S_6W,L,ACMA,1,W,S,6,6,.2 ml,
13,L_ACMA2S_1T,L,ACMA,2,T,S,1,1,.2 ml,
14,L_ACMA2S_2T,L,ACMA,2,T,S,2,2,.2 ml,
15,L_ACMA2S_3T,L,ACMA,2,T,S,3,3,.2 ml,
16,L_ACMA2S_4T,L,ACMA,2,T,S,4,4,.2 ml,
17,L_ACMA2S_5T,L,ACMA,2,T,S,5,5,.2 ml,
18,L_ACMA2S_6T,L,ACMA,2,T,S,6,6,.2 ml,
19,L_ACMA2S_1W,L,ACMA,2,W,S,1,1,.2 ml,
20,L_ACMA2S_2W,L,ACMA,2,W,S,2,2,.2 ml,
21,L_ACMA2S_3W,L,ACMA,2,W,S,3,3,.2 ml,
22,L_ACMA2S_4W,L,ACMA,2,W,S,4,4,.2 ml,
23,L_ACMA2S_5W,L,ACMA,2,W,S,5,5,.2 ml,
24,L_ACMA2S_6W,L,ACMA,2,W,S,6,6,.2 ml,
25,L_ACMA3S_1T,L,ACMA,3,T,S,1,1,.2 ml,
26,L_ACMA3S_2T,L,ACMA,3,T,S,2,2,.2 ml,
27,L_ACMA3S_3T,L,ACMA,3,T,S,3,3,.2 ml,
28,L_ACMA3S_4T,L,ACMA,3,T,S,4,4,.2 ml,
29,L_ACMA3S_5T,L,ACMA,3,T,S,5,5,.2 ml,
30,L_ACMA3S_6T,L,ACMA,3,T,S,6,6,.2 ml,
31,L_ACMA3S_1W,L,ACMA,3,W,S,1,1,.2 ml,
32,L_ACMA3S_2W,L,ACMA,3,W,S,2,2,.2 ml,
33,L_ACMA3S_3W,L,ACMA,3,W,S,3,3,.2 ml,
34,L_ACMA3S_4W,L,ACMA,3,W,S,4,4,.2 ml,
35,L_ACMA3S_5W,L,ACMA,3,W,S,5,5,.2 ml,
36,L_ACMA3S_6W,L,ACMA,3,W,S,6,6,.2 ml,
37,L_ARME1S_1T,L,ARME,1,T,S,1,1,.2 ml,
38,L_ARME1S_2T,L,ARME,1,T,S,2,2,.2 ml,~5-8 plated for sp.
39,L_ARME1S_3T,L,ARME,1,T,S,3,3,.2 ml,
40,L_ARME1S_4T,L,ARME,1,T,S,4,4,.2 ml,
41,L_ARME1S_5T,L,ARME,1,T,S,5,5,.2 ml,
42,L_ARME1S_6T,L,ARME,1,T,S,6,6,.2 ml,
43,L_ARME1S_1W,L,ARME,1,W,S,1,1,.2 ml,
44,L_ARME1S_2W,L,ARME,1,W,S,2,2,.2 ml,
45,L_ARME1S_3W,L,ARME,1,W,S,3,3,.2 ml,
