"","species","spore_type.1","assay_type","trt","n.ind","leaves_per_ind","total leaves/discs"
"1","ACMA","chlamydo","leaf disc","T",3,6,18
"2","ACMA","chlamydo","leaf disc","W",3,6,18
"3","ACMA","sporangia","leaf disc","T",3,6,18
"4","ACMA","sporangia","leaf disc","W",3,6,18
"5","ARME","chlamydo","leaf disc","T",3,6,18
"6","ARME","chlamydo","leaf disc","W",3,6,18
"7","ARME","sporangia","leaf disc","T",3,6,18
"8","ARME","sporangia","leaf disc","W",3,6,18
"9","CEOL","chlamydo","leaf disc","T",1,6,6
"10","CEOL","chlamydo","leaf disc","W",1,6,6
"11","CEOL","sporangia","leaf disc","T",1,6,6
"12","CEOL","sporangia","leaf disc","W",1,6,6
"13","HEAR","chlamydo","leaf disc","T",3,6,18
"14","HEAR","chlamydo","leaf disc","W",3,6,18
"15","HEAR","sporangia","leaf disc","T",3,6,18
"16","HEAR","sporangia","leaf disc","W",3,6,18
"17","LIDE","chlamydo","detached leaves","T",1,6,6
"18","LIDE","chlamydo","detached leaves","W",1,6,6
"19","LIDE","chlamydo","leaf disc","T",3,6,18
"20","LIDE","chlamydo","leaf disc","W",3,6,18
"21","LIDE","sporangia","detached leaves","T",1,6,6
"22","LIDE","sporangia","detached leaves","W",1,6,6
"23","LIDE","sporangia","leaf disc","T",3,6,18
"24","LIDE","sporangia","leaf disc","W",3,6,18
"25","PIPO","chlamydo","detached leaves","T",3,6,18
"26","PIPO","chlamydo","detached leaves","W",3,6,18
"27","PIPO","sporangia","detached leaves","T",3,6,18
"28","PIPO","sporangia","detached leaves","W",3,6,18
"29","PSME","chlamydo","detached leaves","T",3,6,18
"30","PSME","chlamydo","detached leaves","W",3,6,18
"31","PSME","sporangia","detached leaves","T",3,6,18
"32","PSME","sporangia","detached leaves","W",3,6,18
"33","QUAG","chlamydo","leaf disc","T",3,6,18
"34","QUAG","chlamydo","leaf disc","W",3,6,18
"35","QUAG","sporangia","leaf disc","T",3,6,18
"36","QUAG","sporangia","leaf disc","W",3,6,18
"37","QUCH","chlamydo","leaf disc","T",3,6,18
"38","QUCH","chlamydo","leaf disc","W",3,6,18
"39","QUCH","sporangia","leaf disc","T",3,6,18
"40","QUCH","sporangia","leaf disc","W",3,6,18
"41","QUKE","chlamydo","leaf disc","T",3,6,18
"42","QUKE","chlamydo","leaf disc","W",3,6,18
"43","QUKE","sporangia","leaf disc","T",3,6,18
"44","QUKE","sporangia","leaf disc","W",3,6,18
"45","QUPA","chlamydo","leaf disc","T",3,6,18
"46","QUPA","chlamydo","leaf disc","W",3,6,18
"47","QUPA","sporangia","leaf disc","T",3,6,18
"48","QUPA","sporangia","leaf disc","W",3,6,18
"49","RHCA","chlamydo","leaf disc","T",3,6,18
"50","RHCA","chlamydo","leaf disc","W",3,6,18
"51","RHCA","sporangia","leaf disc","T",3,6,18
"52","RHCA","sporangia","leaf disc","W",3,6,18
"53","SESE","chlamydo","detached leaves","T",3,6,18
"54","SESE","chlamydo","detached leaves","W",3,6,18
"55","SESE","sporangia","detached leaves","T",3,6,18
"56","SESE","sporangia","detached leaves","W",3,6,18
"57","TODI","chlamydo","leaf disc","T",3,6,18
"58","TODI","chlamydo","leaf disc","W",3,6,18
"59","TODI","sporangia","leaf disc","T",3,6,18
"60","TODI","sporangia","leaf disc","W",3,6,18
"61","UMCA","chlamydo","detached leaves","T",1,6,6
"62","UMCA","chlamydo","detached leaves","W",1,6,6
"63","UMCA","chlamydo","leaf disc","T",3,6,18
"64","UMCA","chlamydo","leaf disc","W",3,6,18
"65","UMCA","sporangia","detached leaves","T",1,6,6
"66","UMCA","sporangia","detached leaves","W",1,6,6
"67","UMCA","sporangia","leaf disc","T",3,6,18
"68","UMCA","sporangia","leaf disc","W",3,6,18
"69","VAOV","chlamydo","leaf disc","T",3,6,18
"70","VAOV","chlamydo","leaf disc","W",3,6,18
"71","VAOV","sporangia","leaf disc","T",3,6,18
"72","VAOV","sporangia","leaf disc","W",3,6,18
