code,When,Who,assay,Rep,CFUs,,
1-1L-Lisa,before,Lisa,leaf disc,1,22,1,L
1-2L-Lisa,before,Lisa,leaf disc,2,49,1,L
1-3L-Lisa,before,Lisa,leaf disc,3,61,1,L
2-1L-Lisa,after,Lisa,leaf disc,1,36,2,L
2-2L-Lisa,after,Lisa,leaf disc,2,36,2,L
2-3L-Lisa,after,Lisa,leaf disc,3,48,2,L
1-1L-Sebastian,before,Sebastian,leaf disc,1,,1,L
1-2L-Sebastian,before,Sebastian,leaf disc,2,,1,L
1-3L-Sebastian,before,Sebastian,leaf disc,3,,1,L
2-1L-Sebastian,after,Sebastian,leaf disc,1,25,2,L
2-2L-Sebastian,after,Sebastian,leaf disc,2,26,2,L
2-3L-Sebastian,after,Sebastian,leaf disc,3,19,2,L
1-1D-Lisa,before,Lisa,detached leaves,1,21,1,D
1-2D-Lisa,before,Lisa,detached leaves,2,17,1,D
1-3D-Lisa,before,Lisa,detached leaves,3,16,1,D
2-1D-Lisa,after,Lisa,detached leaves,1,10,2,D
2-2D-Lisa,after,Lisa,detached leaves,2,14,2,D
2-3D-Lisa,after,Lisa,detached leaves,3,15,2,D
1-1D-Sebastian,before,Sebastian,detached leaves,1,15,1,D
1-2D-Sebastian,before,Sebastian,detached leaves,2,9,1,D
1-3D-Sebastian,before,Sebastian,detached leaves,3,9,1,D
2-1D-Sebastian,after,Sebastian,detached leaves,1,8,2,D
2-2D-Sebastian,after,Sebastian,detached leaves,2,13,2,D
2-3D-Sebastian,after,Sebastian,detached leaves,3,22,2,D
