sample,code,assay,species,ind,trt,spore,rep,p.area,manual,Notes_lesions
637,L_ARME3C_1T,L,ARME,3,T,C,1,NA,1,ARME 3 photo missing
638,L_ARME3C_2T,L,ARME,3,T,C,2,NA,1,ARME 3 photo missing
639,L_ARME3C_3T,L,ARME,3,T,C,3,NA,1,ARME 3 photo missing
640,L_ARME3C_4T,L,ARME,3,T,C,4,NA,1,ARME 3 photo missing
641,L_ARME3C_5T,L,ARME,3,T,C,5,NA,1,ARME 3 photo missing
642,L_ARME3C_6T,L,ARME,3,T,C,6,NA,1,ARME 3 photo missing
643,L_ARME3C_1W,L,ARME,3,W,C,1,NA,1,ARME 3 photo missing
644,L_ARME3C_2W,L,ARME,3,W,C,2,NA,1,ARME 3 photo missing
621,L_ARME1C_3W,L,ARME,1,W,C,3,NA,1,no disc
645,L_ARME3C_3W,L,ARME,3,W,C,3,NA,1,ARME 3 photo missing
646,L_ARME3C_4W,L,ARME,3,W,C,4,NA,1,ARME 3 photo missing
647,L_ARME3C_5W,L,ARME,3,W,C,5,NA,1,ARME 3 photo missing
648,L_ARME3C_6W,L,ARME,3,W,C,6,NA,1,ARME 3 photo missing
865,L_QUPA3C_1T,L,QUPA,3,T,C,1,NA,1,photo missing for QUPA3
866,L_QUPA3C_2T,L,QUPA,3,T,C,2,NA,1,photo missing for QUPA3
867,L_QUPA3C_3T,L,QUPA,3,T,C,3,NA,1,photo missing for QUPA3
868,L_QUPA3C_4T,L,QUPA,3,T,C,4,NA,1,photo missing for QUPA3
869,L_QUPA3C_5T,L,QUPA,3,T,C,5,NA,1,photo missing for QUPA3
870,L_QUPA3C_6T,L,QUPA,3,T,C,6,NA,1,photo missing for QUPA3
871,L_QUPA3C_1W,L,QUPA,3,W,C,1,NA,1,photo missing for QUPA3
872,L_QUPA3C_2W,L,QUPA,3,W,C,2,NA,1,photo missing for QUPA3
873,L_QUPA3C_3W,L,QUPA,3,W,C,3,NA,1,photo missing for QUPA3
874,L_QUPA3C_4W,L,QUPA,3,W,C,4,NA,1,photo missing for QUPA3
875,L_QUPA3C_5W,L,QUPA,3,W,C,5,NA,1,photo missing for QUPA3
876,L_QUPA3C_6W,L,QUPA,3,W,C,6,NA,1,photo missing for QUPA3
947,L_TODI3C_5W,L,TODI,3,W,C,5,NA,1,leaf missing
577,L_ACMA1C_1T,L,ACMA,1,T,C,1,1,1,"done manually. lesions were light, but def entire leaf area"
589,L_ACMA2C_1T,L,ACMA,2,T,C,1,1,1,"lesion area appears spread out across entire disc, but faint..."
601,L_ACMA3C_1T,L,ACMA,3,T,C,1,1,1,done manually
602,L_ACMA3C_2T,L,ACMA,3,T,C,2,1,1,done manually
603,L_ACMA3C_3T,L,ACMA,3,T,C,3,1,1,done manually
592,L_ACMA2C_4T,L,ACMA,2,T,C,4,1,1,
604,L_ACMA3C_4T,L,ACMA,3,T,C,4,1,1,done manually
593,L_ACMA2C_5T,L,ACMA,2,T,C,5,1,1,
605,L_ACMA3C_5T,L,ACMA,3,T,C,5,1,1,done manually
594,L_ACMA2C_6T,L,ACMA,2,T,C,6,1,1,
606,L_ACMA3C_6T,L,ACMA,3,T,C,6,1,1,done manually
664,L_HEAR1C_4T,L,HEAR,1,T,C,4,1,1,"done manually. lesions were light, but def entire leaf area"
697,L_LIDE1C_1T,L,LIDE,1,T,C,1,1,1,
698,L_LIDE1C_2T,L,LIDE,1,T,C,2,1,1,
700,L_LIDE1C_4T,L,LIDE,1,T,C,4,1,1,
701,L_LIDE1C_5T,L,LIDE,1,T,C,5,1,1,
725,L_LIDE3C_5T,L,LIDE,3,T,C,5,1,1,"done manually, but lesions def covered entire leaf area"
702,L_LIDE1C_6T,L,LIDE,1,T,C,6,1,1,
726,L_LIDE3C_6T,L,LIDE,3,T,C,6,1,1,"done manually, but lesions def covered entire leaf area"
746,L_QUAG2C_2T,L,QUAG,2,T,C,2,1,1,entire leaf area covered
752,L_QUAG2C_2W,L,QUAG,2,W,C,2,1,1,
997,L_VAOV2C_1T,L,VAOV,2,T,C,1,1,1,"done manually, 100% of surface clearly covered"
1009,L_VAOV3C_1T,L,VAOV,3,T,C,1,1,1,
998,L_VAOV2C_2T,L,VAOV,2,T,C,2,1,1,"done manually, 100% of surface clearly covered"
1011,L_VAOV3C_3T,L,VAOV,3,T,C,3,1,1,
1000,L_VAOV2C_4T,L,VAOV,2,T,C,4,1,1,100% of surface covered
1001,L_VAOV2C_5T,L,VAOV,2,T,C,5,1,1,100% of surface covered
1013,L_VAOV3C_5T,L,VAOV,3,T,C,5,1,1,
1002,L_VAOV2C_6T,L,VAOV,2,T,C,6,1,1,100% of surface covered
1003,L_VAOV2C_1W,L,VAOV,2,W,C,1,1,1,100% of surface covered
1006,L_VAOV2C_4W,L,VAOV,2,W,C,4,0.99928,0,
1007,L_VAOV2C_5W,L,VAOV,2,W,C,5,0.98891,0,
723,L_LIDE3C_3T,L,LIDE,3,T,C,3,0.97529,0,
999,L_VAOV2C_3T,L,VAOV,2,T,C,3,0.97068,0,
627,L_ARME2C_3T,L,ARME,2,T,C,3,0.96814,0,
722,L_LIDE3C_2T,L,LIDE,3,T,C,2,0.93433,0,
724,L_LIDE3C_4T,L,LIDE,3,T,C,4,0.92756,0,
975,L_UMCA3C_3T,L,UMCA,3,T,C,3,0.92317,0,
