No,code,assay_code,assay type,species,ind,trt,spore_type,spore type,leaf,rep,tubes,notes,total leaf area,lesion area,chlamydo counts,,,date counted chlamydo,sporangia counts,,,,date counted sporangia
1,L_ACMA1S_1T,L,leaf disc,ACMA,1,T,S,sporangia,1,1,.2 ml,,,,,,,,56,57,63,40,0
2,L_ACMA1S_2T,L,leaf disc,ACMA,1,T,S,sporangia,2,2,.2 ml,,,,,,,,3,2,2,5,0
3,L_ACMA1S_3T,L,leaf disc,ACMA,1,T,S,sporangia,3,3,.2 ml,,,,,,,,0,0,0,0,0
4,L_ACMA1S_4T,L,leaf disc,ACMA,1,T,S,sporangia,4,4,.2 ml,,,,,,,,1,2,1,0,0
5,L_ACMA1S_5T,L,leaf disc,ACMA,1,T,S,sporangia,5,5,.2 ml,,,,,,,,11,6,4,13,0
6,L_ACMA1S_6T,L,leaf disc,ACMA,1,T,S,sporangia,6,6,.2 ml,,,,,,,,3,1,2,3,0
7,L_ACMA1S_1W,L,leaf disc,ACMA,1,W,S,sporangia,1,1,.2 ml,,,,,,,,0,0,0,0,0
8,L_ACMA1S_2W,L,leaf disc,ACMA,1,W,S,sporangia,2,2,.2 ml,,,,,,,,,,,,0
9,L_ACMA1S_3W,L,leaf disc,ACMA,1,W,S,sporangia,3,3,.2 ml,,,,,,,,,,,,0
10,L_ACMA1S_4W,L,leaf disc,ACMA,1,W,S,sporangia,4,4,.2 ml,,,,,,,,,,,,0
11,L_ACMA1S_5W,L,leaf disc,ACMA,1,W,S,sporangia,5,5,.2 ml,,,,,,,,,,,,0
12,L_ACMA1S_6W,L,leaf disc,ACMA,1,W,S,sporangia,6,6,.2 ml,,,,,,,,,,,,0
13,L_ACMA2S_1T,L,leaf disc,ACMA,2,T,S,sporangia,1,1,.2 ml,,,,,,,,34,60,38,32,0
14,L_ACMA2S_2T,L,leaf disc,ACMA,2,T,S,sporangia,2,2,.2 ml,,,,,,,,1,1,NA,NA,0
15,L_ACMA2S_3T,L,leaf disc,ACMA,2,T,S,sporangia,3,3,.2 ml,,,,,,,,4,NA,NA,NA,0
16,L_ACMA2S_4T,L,leaf disc,ACMA,2,T,S,sporangia,4,4,.2 ml,,,,,,,,3,0,NA,NA,0
17,L_ACMA2S_5T,L,leaf disc,ACMA,2,T,S,sporangia,5,5,.2 ml,,,,,,,,4,4,NA,NA,0
