No,code,spore,count.mu,count.sd,date_counted,water,Notes_spores
1,L_ACMA1S_1T,S,10.8,1.97,25-Jun,1,H2O
2,L_ACMA1S_2T,S,0.6,0.28,27-Jun,0,
3,L_ACMA1S_3T,S,0,0,27-Jun,0,
4,L_ACMA1S_4T,S,0.2,0.16,27-Jun,0,
5,L_ACMA1S_5T,S,1.7,0.84,27-Jun,0,
6,L_ACMA1S_6T,S,0.45,0.19,27-Jun,0,
7,L_ACMA1S_1W,S,0,0,26-Jun,1,H2O
8,L_ACMA1S_2W,S,0,0,19-Jul,0,
9,L_ACMA1S_3W,S,0,0,19-Jul,0,
10,L_ACMA1S_4W,S,0,0,19-Jul,0,
11,L_ACMA1S_5W,S,0,0,19-Jul,0,
12,L_ACMA1S_6W,S,0,0,19-Jul,0,
13,L_ACMA2S_1T,S,7.95,2.09,25-Jun,1,H2O
14,L_ACMA2S_2T,S,0.2,0,27-Jun,0,
15,L_ACMA2S_3T,S,0.27,0.46,27-Jun,0,
16,L_ACMA2S_4T,S,0.27,0.31,27-Jun,0,
17,L_ACMA2S_5T,S,0.6,0.35,27-Jun,0,
18,L_ACMA2S_6T,S,1.27,0.76,27-Jun,0,
19,L_ACMA2S_1W,S,0.1,0.2,26-Jun,1,H2O
20,L_ACMA2S_2W,S,0,0,19-Jul,0,
21,L_ACMA2S_3W,S,0,0,19-Jul,0,
22,L_ACMA2S_4W,S,0,0,19-Jul,0,
23,L_ACMA2S_5W,S,0,0,19-Jul,0,
24,L_ACMA2S_6W,S,0,0,19-Jul,0,
25,L_ACMA3S_1T,S,25.07,5.1,25-Jun,1,H2O
26,L_ACMA3S_2T,S,25.6,13.36,27-Jun,0,so many! is it PR. gonna subculture.
27,L_ACMA3S_3T,S,14.7,2.64,27-Jun,0,
28,L_ACMA3S_4T,S,22.1,3.81,27-Jun,0,
29,L_ACMA3S_5T,S,18.4,2.12,27-Jun,0,
30,L_ACMA3S_6T,S,28.8,5.61,27-Jun,0,
31,L_ACMA3S_1W,S,0.73,0.23,26-Jun,0,"H2O, plated on parp but no growth. clearly sporangia though...not really sure if ramorum"
32,L_ACMA3S_2W,S,0,0,19-Jul,0,
33,L_ACMA3S_3W,S,0,0,19-Jul,0,
34,L_ACMA3S_4W,S,0,0,19-Jul,0,
35,L_ACMA3S_5W,S,0,0,19-Jul,0,
36,L_ACMA3S_6W,S,0,0,19-Jul,0,
37,L_ARME1S_1T,S,0.2,0.23,26-Jun,1,H2O
38,L_ARME1S_2T,S,0.27,0.46,26-Jun,0,
39,L_ARME1S_3T,S,0.33,0.12,26-Jun,0,
40,L_ARME1S_4T,S,0.27,0.12,26-Jun,0,
41,L_ARME1S_5T,S,0,0,26-Jun,0,
42,L_ARME1S_6T,S,0,0,26-Jun,0,"H2O, things like sporangia but too dark"
43,L_ARME1S_1W,S,0,0,19-Jul,0,
44,L_ARME1S_2W,S,0,0,19-Jul,0,
45,L_ARME1S_3W,S,0,0,19-Jul,0,
46,L_ARME1S_4W,S,0,0,19-Jul,0,
47,L_ARME1S_5W,S,0,0,19-Jul,0,
48,L_ARME1S_6W,S,0.1,0.12,26-Jun,1,H2O
49,L_ARME2S_1T,S,0.13,0.23,26-Jun,0,
50,L_ARME2S_2T,S,0.6,0.2,26-Jun,0,
51,L_ARME2S_3T,S,0.07,0.12,26-Jun,0,
52,L_ARME2S_4T,S,0.4,0.2,26-Jun,0,
53,L_ARME2S_5T,S,0,0,26-Jun,0,
54,L_ARME2S_6T,S,0,0,26-Jun,1,H2O
55,L_ARME2S_1W,S,0,0,26-Jun,0,
56,L_ARME2S_2W,S,0,0,26-Jun,0,
57,L_ARME2S_3W,S,0,0,26-Jun,0,
58,L_ARME2S_4W,S,0,0,26-Jun,0,
59,L_ARME2S_5W,S,0,0,26-Jun,0,
60,L_ARME2S_6W,S,0,0,26-Jun,0,
61,L_ARME3S_1T,S,0.3,0.26,26-Jun,1,H2O
62,L_ARME3S_2T,S,0,0,26-Jun,0,
63,L_ARME3S_3T,S,0.2,0,26-Jun,0,interesting to see a clump of mycelium
64,L_ARME3S_4T,S,0.27,0.31,26-Jun,0,
65,L_ARME3S_5T,S,0.47,0.23,26-Jun,0,
66,L_ARME3S_6T,S,0.13,0.12,26-Jun,0,
67,L_ARME3S_1W,S,0,0,26-Jun,1,H2O
68,L_ARME3S_2W,S,0,0,19-Jul,0,
69,L_ARME3S_3W,S,0,0,19-Jul,0,
70,L_ARME3S_4W,S,0,0,19-Jul,0,
71,L_ARME3S_5W,S,0,0,19-Jul,0,
72,L_ARME3S_6W,S,0,0,19-Jul,0,
73,L_CEOL1S_1T,S,0.3,0.26,25-Jun,1,water
74,L_CEOL1S_2T,S,0.27,0.12,25-Jun,0,
75,L_CEOL1S_3T,S,0.2,0.2,25-Jun,0,
76,L_CEOL1S_4T,S,0,0,25-Jun,0,
77,L_CEOL1S_5T,S,0.07,0.12,25-Jun,0,
78,L_CEOL1S_6T,S,0.07,0.12,25-Jun,0,
79,L_CEOL1S_1W,S,0,0,25-Jun,1,water
80,L_CEOL1S_2W,S,0,0,19-Jul,0,
81,L_CEOL1S_3W,S,0,0,19-Jul,0,
82,L_CEOL1S_4W,S,0,0,19-Jul,0,
83,L_CEOL1S_5W,S,0,0,19-Jul,0,
84,L_CEOL1S_6W,S,0,0,19-Jul,0,
85,L_HEAR1S_1T,S,0.3,0.26,19-Jul,0,
86,L_HEAR1S_2T,S,0.27,0.12,19-Jul,0,
87,L_HEAR1S_3T,S,0.2,0,19-Jul,0,
88,L_HEAR1S_4T,S,0.2,0.35,19-Jul,0,
89,L_HEAR1S_5T,S,0.07,0.12,19-Jul,0,
90,L_HEAR1S_6T,S,0.13,0.23,19-Jul,0,
91,L_HEAR1S_1W,S,0,0,25-Jun,1,water
92,L_HEAR1S_2W,S,0,0,25-Jun,0,nematodes???
93,L_HEAR1S_3W,S,0,0,25-Jun,0,trichomes???
94,L_HEAR1S_4W,S,0,0,25-Jun,0,
95,L_HEAR1S_5W,S,0,0,25-Jun,0,
96,L_HEAR1S_6W,S,0,0,25-Jun,0,
97,L_HEAR2S_1T,S,0.25,0.19,25-Jun,1,water
98,L_HEAR2S_2T,S,0.47,0.12,25-Jun,0,
99,L_HEAR2S_3T,S,0.2,0.35,25-Jun,0,
100,L_HEAR2S_4T,S,0.27,0.12,25-Jun,0,
101,L_HEAR2S_5T,S,0.13,0.23,25-Jun,0,
102,L_HEAR2S_6T,S,0.13,0.12,25-Jun,0,
103,L_HEAR2S_1W,S,0,0,25-Jun,0,
104,L_HEAR2S_2W,S,0,0,19-Jul,0,
105,L_HEAR2S_3W,S,0,0,19-Jul,0,
106,L_HEAR2S_4W,S,0,0,19-Jul,0,
107,L_HEAR2S_5W,S,0,0,19-Jul,0,
108,L_HEAR2S_6W,S,0,0,19-Jul,0,
109,L_HEAR3S_1T,S,0.15,0.19,25-Jun,1,water
110,L_HEAR3S_2T,S,0.53,0.12,25-Jun,0,
111,L_HEAR3S_3T,S,0.47,0.23,25-Jun,0,
112,L_HEAR3S_4T,S,0.07,0.12,25-Jun,0,
113,L_HEAR3S_5T,S,0.33,0.42,25-Jun,0,
114,L_HEAR3S_6T,S,0.53,0.31,25-Jun,0,
115,L_HEAR3S_1W,S,0,0,25-Jun,1,water
116,L_HEAR3S_2W,S,0,0,19-Jul,0,
117,L_HEAR3S_3W,S,0,0,19-Jul,0,
118,L_HEAR3S_4W,S,0,0,19-Jul,0,
119,L_HEAR3S_5W,S,0,0,19-Jul,0,
120,L_HEAR3S_6W,S,0,0,19-Jul,0,
121,L_LIDE1S_1T,S,0.35,0.19,25-Jun,1,water
122,L_LIDE1S_2T,S,0.2,0.2,25-Jun,0,
123,L_LIDE1S_3T,S,0.47,0.12,25-Jun,0,
124,L_LIDE1S_4T,S,0.33,0.23,25-Jun,0,
125,L_LIDE1S_5T,S,0.13,0.12,25-Jun,0,
126,L_LIDE1S_6T,S,0.4,0.35,25-Jun,0,
127,L_LIDE1S_1W,S,0,0,25-Jun,1,water
128,L_LIDE1S_2W,S,0,0,19-Jul,0,
129,L_LIDE1S_3W,S,0,0,19-Jul,0,
130,L_LIDE1S_4W,S,0,0,19-Jul,0,
