plate,leaf,counts1,counts2,counts3,counts_mean,lesion
A,1,22,16.4,11.6,16.66666667,0.823
A,2,28.4,8.8,8.4,15.2,1.224
A,3,NA,NA,NA,NA,1.323
A,4,NA,NA,NA,NA,0.973
B,1,NA,NA,NA,NA,1.186
B,2,NA,NA,NA,NA,0.843
B,3,2.8,2.2,4.4,3.133333333,1.234
B,4,1.8,1.6,2.2,1.866666667,0.627
C,1,2,3.6,1.2,2.266666667,0.699
C,2,2.8,2.2,1.8,2.266666667,1.267
C,3,1.4,0.8,1.4,1.2,0.982
C,4,7.6,6.2,9,7.6,0.582
D,5,3,4.2,4.8,4,0.547
D,5,3.6,3.4,5.2,4.066666667,0.852
D,5,4.4,4.4,NA,4.4,1.062
D,5,1.6,2.8,3.2,2.533333333,0.62
D,5,4.8,5.2,NA,5,0.519
D,5,3.4,5.8,6.4,5.2,0.736
