leafID,leafID2,species,ind,leaf,trt,spore_assay,total area,perc_lesion
1,1S,ACMA,1,1,T,S,13778,
1,1C,ACMA,1,1,T,C,8669,54.756
2,2S,ACMA,2,1,T,S,14955,94.461
2,2C,ACMA,2,1,T,C,13535,85.491
3,3S,ACMA,3,1,T,S,13478,85.131
3,3C,ACMA,3,1,T,C,9167,61.731
4,4S,ACMA,4,1,T,S,8615,51.76
4,4C,ACMA,4,1,T,C,7693,46.221
5,5S,ACMA,5,1,T,S,6302,48.989
5,5C,ACMA,5,1,T,C,9181,67.054
6,6S,ACMA,6,1,T,S,13470,100
6,6C,ACMA,6,1,T,C,13470,100
7,7S,ACMA,7,1,T,S,12998,94.931
7,7C,ACMA,7,1,T,C,12717,92.879
8,8S,ACMA,8,1,T,S,13510,98.671
8,8C,ACMA,8,1,T,C,9272,65.722
9,9S,ACMA,9,1,T,S,7702,51.47
9,9C,ACMA,9,1,T,C,7415,49.552
10,10S,ACMA,10,1,T,S,12129,81.055
10,10C,ACMA,10,1,T,C,13483,
11,11S,ACMA,11,1,T,S,11217,73.046
11,11C,ACMA,11,1,T,C,7699,50.745
12,12S,ACMA,12,1,T,S,10961,73.249
12,12C,ACMA,12,1,T,C,10805,70.363
13,13S,ACMA,13,1,T,S,12317,82.932
13,13C,ACMA,13,1,T,C,9352,62.968
14,14S,ACMA,14,1,T,S,14342,96.566
14,14C,ACMA,14,1,T,C,12836,86.426
15,15S,ACMA,15,1,T,S,10958,74.362
15,15C,ACMA,15,1,T,C,7450,50.556
16,16S,ACMA,16,1,T,S,10018,67.983
16,16C,ACMA,16,1,T,C,9499,64.461
17,17S,ACMA,17,1,T,S,9600,58.925
17,17C,ACMA,17,1,T,C,12157,74.619
18,18S,ACMA,18,1,T,S,15100,100
18,18C,ACMA,18,1,T,C,14619,89.731
19,19S,ACMA,19,1,T,S,14482,99.986
19,19C,ACMA,19,1,T,C,14482,99.986
20,20S,ACMA,20,1,T,S,11888,72.968
20,20C,ACMA,20,1,T,C,10715,65.768
21,21S,ACMA,21,1,T,S,11894,79.484
21,21C,ACMA,21,1,T,C,11392,76.129
22,22S,ACMA,22,1,T,S,9057,61.462
22,22C,ACMA,22,1,T,C,12187,82.702
23,23S,ACMA,23,1,T,S,11283,76.568
23,23C,ACMA,23,1,T,C,10177,69.062
24,24S,ACMA,24,1,T,S,14082,95.562
24,24C,ACMA,24,1,T,C,14964,100
25,25S,ACMA,25,1,T,S,16524,100
25,25C,ACMA,25,1,T,C,13644,82.571
26,26S,ACMA,26,1,T,S,16425,99.401
26,26C,ACMA,26,1,T,C,15964,96.611
27,27S,ACMA,27,1,T,S,13805,84.735
27,27C,ACMA,27,1,T,C,11654,71.532
28,28S,ACMA,28,1,T,S,16524,100
28,28C,ACMA,28,1,T,C,16524,100
29,29S,ACMA,29,1,T,S,13202,92.193
29,29C,ACMA,29,1,T,C,10563,69.622
30,30S,ACMA,30,1,T,S,13349,87.984
30,30C,ACMA,30,1,T,C,14877,98.056
31,31S,ACMA,31,1,T,S,15106,99.565
31,31C,ACMA,31,1,T,C,15086,99.433
32,32S,ACMA,32,1,T,S,15166,99.96
32,32C,ACMA,32,1,T,C,15172,100
