"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
1,"1S","ACMA",1,1,"T","S","LMR","LMR",2019-05-21,"8","9","13","NA",89.14,1.23,1.09,NA,NA,NA,606006,4023900,2019-05-17
1,"1C","ACMA",1,1,"T","C","LMR","LMR",2019-05-30,"228","NA","NA","0.1",54.76,1.23,0.67,NA,NA,NA,606006,4023900,2019-05-17
2,"2S","ACMA",2,1,"T","S","LMR","LMR",2019-05-21,"4","0","0","NA",94.46,1.23,1.16,NA,NA,NA,606007,4023900,2019-05-17
2,"2C","ACMA",2,1,"T","C","LMR","LMR",2019-05-31,"140","NA","NA","0.05",85.49,1.23,1.05,NA,NA,NA,606007,4023900,2019-05-17
3,"3S","ACMA",3,1,"T","S","LMR","LMR",2019-05-21,"1","1","3","NA",85.13,1.23,1.04,NA,NA,NA,606011,4023894,2019-05-17
3,"3C","ACMA",3,1,"T","C","LMR","LMR",2019-06-01,"235","NA","NA","0.1",61.73,1.23,0.76,NA,NA,NA,606011,4023894,2019-05-17
4,"4S","ACMA",4,1,"T","S","LMR","LMR",2019-05-21,"7","2","1","NA",51.76,1.23,0.64,NA,NA,NA,606026,4023890,2019-05-17
4,"4C","ACMA",4,1,"T","C","LMR","LMR",2019-06-01,"153","NA","NA","0.1",46.22,1.23,0.57,NA,NA,NA,606026,4023890,2019-05-17
5,"5S","ACMA",5,1,"T","S","LMR","LMR",2019-05-21,"0","0","0","NA",48.99,1.23,0.6,NA,NA,NA,606032,4023879,2019-05-17
5,"5C","ACMA",5,1,"T","C","LMR","EL",2019-06-11,"91","NA","NA","0.1",67.05,1.23,0.82,NA,NA,NA,606032,4023879,2019-05-17
6,"6S","ACMA",6,1,"T","S","LMR","LMR",2019-05-21,"10","15","15","NA",100,1.23,1.23,NA,NA,NA,606032,4023879,2019-05-17
6,"6C","ACMA",6,1,"T","C","LMR","EL",2019-06-11,"367","NA","NA","0.2",100,1.23,1.23,NA,"plated on parp to ensure ramorum dead in koh. It is.",NA,606032,4023879,2019-05-17
7,"7S","ACMA",7,1,"T","S","LMR","LMR",2019-05-21,"0","0","0","NA",94.93,1.23,1.16,NA,NA,NA,606144,4023903,2019-05-17
7,"7C","ACMA",7,1,"T","C","LMR","EL",2019-06-11,"183","NA","NA","0.05",92.88,1.23,1.14,NA,NA,NA,606144,4023903,2019-05-17
8,"8S","ACMA",8,1,"T","S","LMR","LMR",2019-05-21,"2","1","3","NA",98.67,1.23,1.21,NA,NA,NA,606162,4023899,2019-05-17
8,"8C","ACMA",8,1,"T","C","LMR","EL",2019-06-11,"214","NA","NA","0.1",65.72,1.23,0.81,NA,NA,NA,606162,4023899,2019-05-17
9,"9S","ACMA",9,1,"T","S","LMR","LMR",2019-08-01,"1","1","1","NA",51.47,1.23,0.63,NA,NA,NA,606173,4023908,2019-05-17
9,"9C","ACMA",9,1,"T","C","LMR","EL",2019-06-11,"152","NA","NA","0.1",49.55,1.23,0.61,NA,NA,NA,606173,4023908,2019-05-17
