"Species","Ind","Easting","Northing","General_location","Notes"
"UMCA",1,,,,
"UMCA",2,,,,
"UMCA",3,,,,
"UMCA",4,,,,
"UMCA",5,,,,
"UMCA",6,,,,
"UMCA",7,,,,
"UMCA",8,,,,
"UMCA",9,,,,
"UMCA",10,,,,
"UMCA",11,,,,
"UMCA",12,,,,
"UMCA",13,,,,
"UMCA",14,,,,
"UMCA",15,,,,
"UMCA",16,,,,
"UMCA",17,,,,
"UMCA",18,,,,
"UMCA",19,,,,
"UMCA",20,,,,
"UMCA",21,,,,
"UMCA",22,,,,
"UMCA",23,,,,
"UMCA",24,,,,
"UMCA",25,,,,
"UMCA",26,,,,
"UMCA",27,,,,
"UMCA",28,,,,
"UMCA",29,,,,
"UMCA",30,,,,
"UMCA",31,,,,
"UMCA",32,,,,
"QUAG",1,,,,
"QUAG",2,,,,
"QUAG",3,,,,
"QUAG",4,,,,
"QUAG",5,,,,
"QUAG",6,,,,
"QUAG",7,,,,
"QUAG",8,,,,
"QUAG",9,,,,
"QUAG",10,,,,
"QUAG",11,,,,
"QUAG",12,,,,
"QUAG",13,,,,
"QUAG",14,,,,
"QUAG",15,,,,
"QUAG",16,,,,
"QUAG",17,,,,
"QUAG",18,,,,
"QUAG",19,,,,
"QUAG",20,,,,
"QUAG",21,,,,
"QUAG",22,,,,
"QUAG",23,,,,
"QUAG",24,,,,
"QUAG",25,,,,
"QUAG",26,,,,
"QUAG",27,,,,
"QUAG",28,,,,
"QUAG",29,,,,
"QUAG",30,,,,
"QUAG",31,,,,
"QUAG",32,,,,
"LIDE",1,,,,
"LIDE",2,,,,
"LIDE",3,,,,
"LIDE",4,,,,
"LIDE",5,,,,
"LIDE",6,,,,
"LIDE",7,,,,
"LIDE",8,,,,
"LIDE",9,,,,
"LIDE",10,,,,
"LIDE",11,,,,
"LIDE",12,,,,
"LIDE",13,,,,
"LIDE",14,,,,
"LIDE",15,,,,
"LIDE",16,,,,
"LIDE",17,,,,
"LIDE",18,,,,
"LIDE",19,,,,
"LIDE",20,,,,
"LIDE",21,,,,
"LIDE",22,,,,
"LIDE",23,,,,
"LIDE",24,,,,
"LIDE",25,,,,
"LIDE",26,,,,
"LIDE",27,,,,
"LIDE",28,,,,
"LIDE",29,,,,
"LIDE",30,,,,
"LIDE",31,,,,
"LIDE",32,,,,
"ARME",1,,,,
"ARME",2,,,,
"ARME",3,,,,
"ARME",4,,,,
"ARME",5,,,,
"ARME",6,,,,
"ARME",7,,,,
"ARME",8,,,,
"ARME",9,,,,
"ARME",10,,,,
"ARME",11,,,,
"ARME",12,,,,
"ARME",13,,,,
"ARME",14,,,,
"ARME",15,,,,
"ARME",16,,,,
"ARME",17,,,,
"ARME",18,,,,
"ARME",19,,,,
"ARME",20,,,,
"ARME",21,,,,
"ARME",22,,,,
"ARME",23,,,,
"ARME",24,,,,
"ARME",25,,,,
"ARME",26,,,,
"ARME",27,,,,
"ARME",28,,,,
"ARME",29,,,,
"ARME",30,,,,
"ARME",31,,,,
"ARME",32,,,,
"QUPA",1,,,,
"QUPA",2,,,,
"QUPA",3,,,,
"QUPA",4,,,,
"QUPA",5,,,,
"QUPA",6,,,,
"QUPA",7,,,,
"QUPA",8,,,,
"QUPA",9,,,,
"QUPA",10,,,,
"QUPA",11,,,,
"QUPA",12,,,,
"QUPA",13,,,,
"QUPA",14,,,,
"QUPA",15,,,,
"QUPA",16,,,,
"QUPA",17,,,,
"QUPA",18,,,,
"QUPA",19,,,,
"QUPA",20,,,,
"QUPA",21,,,,
"QUPA",22,,,,
"QUPA",23,,,,
"QUPA",24,,,,
"QUPA",25,,,,
"QUPA",26,,,,
"QUPA",27,,,,
"QUPA",28,,,,
"QUPA",29,,,,
"QUPA",30,,,,
"QUPA",31,,,,
"QUPA",32,,,,
"QUCH",1,,,,
"QUCH",2,,,,
"QUCH",3,,,,
"QUCH",4,,,,
"QUCH",5,,,,
"QUCH",6,,,,
"QUCH",7,,,,
"QUCH",8,,,,
"QUCH",9,,,,
"QUCH",10,,,,
"QUCH",11,,,,
"QUCH",12,,,,
"QUCH",13,,,,
"QUCH",14,,,,
"QUCH",15,,,,
"QUCH",16,,,,
"QUCH",17,,,,
"QUCH",18,,,,
"QUCH",19,,,,
"QUCH",20,,,,
"QUCH",21,,,,
"QUCH",22,,,,
"QUCH",23,,,,
"QUCH",24,,,,
"QUCH",25,,,,
"QUCH",26,,,,
"QUCH",27,,,,
"QUCH",28,,,,
"QUCH",29,,,,
"QUCH",30,,,,
"QUCH",31,,,,
"QUCH",32,,,,
"TODI",1,,,,
"TODI",2,,,,
"TODI",3,,,,
"TODI",4,,,,
"TODI",5,,,,
"TODI",6,,,,
"TODI",7,,,,
"TODI",8,,,,
"TODI",9,,,,
"TODI",10,,,,
"TODI",11,,,,
"TODI",12,,,,
"TODI",13,,,,
"TODI",14,,,,
"TODI",15,,,,
"TODI",16,,,,
"TODI",17,,,,
"TODI",18,,,,
"TODI",19,,,,
"TODI",20,,,,
"TODI",21,,,,
"TODI",22,,,,
"TODI",23,,,,
