"Species","Ind","Easting","Northing","General_location","Notes"
"PIPO",1,,,,
"PIPO",2,,,,
"PIPO",3,,,,
"PIPO",4,,,,
"PIPO",5,,,,
"PIPO",6,,,,
"PIPO",7,,,,
"PIPO",8,,,,
"PIPO",9,,,,
"PIPO",10,,,,
"PIPO",11,,,,
"PIPO",12,,,,
"PIPO",13,,,,
"PIPO",14,,,,
"PIPO",15,,,,
"PIPO",16,,,,
"PIPO",17,,,,
"PIPO",18,,,,
"PIPO",19,,,,
"PIPO",20,,,,
"PIPO",21,,,,
"PIPO",22,,,,
"PIPO",23,,,,
"PIPO",24,,,,
"PIPO",25,,,,
"PIPO",26,,,,
"PIPO",27,,,,
"PIPO",28,,,,
"PIPO",29,,,,
"PIPO",30,,,,
"PIPO",31,,,,
"PIPO",32,,,,
"SESE",1,,,,
"SESE",2,,,,
"SESE",3,,,,
"SESE",4,,,,
"SESE",5,,,,
"SESE",6,,,,
"SESE",7,,,,
"SESE",8,,,,
"SESE",9,,,,
"SESE",10,,,,
"SESE",11,,,,
"SESE",12,,,,
"SESE",13,,,,
"SESE",14,,,,
"SESE",15,,,,
"SESE",16,,,,
"SESE",17,,,,
"SESE",18,,,,
"SESE",19,,,,
"SESE",20,,,,
"SESE",21,,,,
"SESE",22,,,,
"SESE",23,,,,
"SESE",24,,,,
"SESE",25,,,,
"SESE",26,,,,
"SESE",27,,,,
"SESE",28,,,,
"SESE",29,,,,
"SESE",30,,,,
"SESE",31,,,,
"SESE",32,,,,
"PSME",1,,,,
"PSME",2,,,,
"PSME",3,,,,
"PSME",4,,,,
"PSME",5,,,,
"PSME",6,,,,
"PSME",7,,,,
"PSME",8,,,,
"PSME",9,,,,
"PSME",10,,,,
"PSME",11,,,,
"PSME",12,,,,
"PSME",13,,,,
"PSME",14,,,,
"PSME",15,,,,
"PSME",16,,,,
"PSME",17,,,,
"PSME",18,,,,
"PSME",19,,,,
"PSME",20,,,,
"PSME",21,,,,
"PSME",22,,,,
"PSME",23,,,,
"PSME",24,,,,
"PSME",25,,,,
"PSME",26,,,,
"PSME",27,,,,
"PSME",28,,,,
"PSME",29,,,,
"PSME",30,,,,
"PSME",31,,,,
"PSME",32,,,,
"UMCA",1,,,,
"UMCA",2,,,,
"UMCA",3,,,,
"UMCA",4,,,,
"UMCA",5,,,,
"UMCA",6,,,,
"UMCA",7,,,,
"UMCA",8,,,,
"UMCA",9,,,,
"UMCA",10,,,,
"LIDE",1,,,,
"LIDE",2,,,,
"LIDE",3,,,,
"LIDE",4,,,,
"LIDE",5,,,,
"LIDE",6,,,,
"LIDE",7,,,,
"LIDE",8,,,,
"LIDE",9,,,,
"LIDE",10,,,,
