"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
1,"1S","ACMA",1,"T","S",,,,,,,,,,,,,,,,
1,"1C","ACMA",1,"T","C",,,,,,,,,,,,,,,,
2,"2S","ACMA",2,"T","S",,,,,,,,,,,,,,,,
2,"2C","ACMA",2,"T","C",,,,,,,,,,,,,,,,
3,"3S","ACMA",3,"T","S",,,,,,,,,,,,,,,,
3,"3C","ACMA",3,"T","C",,,,,,,,,,,,,,,,
4,"4S","ACMA",4,"T","S",,,,,,,,,,,,,,,,
4,"4C","ACMA",4,"T","C",,,,,,,,,,,,,,,,
5,"5S","ACMA",5,"T","S",,,,,,,,,,,,,,,,
5,"5C","ACMA",5,"T","C",,,,,,,,,,,,,,,,
6,"6S","ACMA",6,"T","S",,,,,,,,,,,,,,,,
6,"6C","ACMA",6,"T","C",,,,,,,,,,,,,,,,
7,"7S","ACMA",7,"T","S",,,,,,,,,,,,,,,,
7,"7C","ACMA",7,"T","C",,,,,,,,,,,,,,,,
8,"8S","ACMA",8,"T","S",,,,,,,,,,,,,,,,
8,"8C","ACMA",8,"T","C",,,,,,,,,,,,,,,,
9,"9S","ACMA",9,"T","S",,,,,,,,,,,,,,,,
9,"9C","ACMA",9,"T","C",,,,,,,,,,,,,,,,
10,"10S","ACMA",10,"T","S",,,,,,,,,,,,,,,,
10,"10C","ACMA",10,"T","C",,,,,,,,,,,,,,,,
11,"11S","ACMA",11,"T","S",,,,,,,,,,,,,,,,
11,"11C","ACMA",11,"T","C",,,,,,,,,,,,,,,,
12,"12S","ACMA",12,"T","S",,,,,,,,,,,,,,,,
12,"12C","ACMA",12,"T","C",,,,,,,,,,,,,,,,
13,"13S","ACMA",13,"T","S",,,,,,,,,,,,,,,,
13,"13C","ACMA",13,"T","C",,,,,,,,,,,,,,,,
14,"14S","ACMA",14,"T","S",,,,,,,,,,,,,,,,
14,"14C","ACMA",14,"T","C",,,,,,,,,,,,,,,,
15,"15S","ACMA",15,"T","S",,,,,,,,,,,,,,,,
15,"15C","ACMA",15,"T","C",,,,,,,,,,,,,,,,
16,"16S","ACMA",16,"T","S",,,,,,,,,,,,,,,,
16,"16C","ACMA",16,"T","C",,,,,,,,,,,,,,,,
17,"17S","ACMA",17,"T","S",,,,,,,,,,,,,,,,
17,"17C","ACMA",17,"T","C",,,,,,,,,,,,,,,,
18,"18S","ACMA",18,"T","S",,,,,,,,,,,,,,,,
18,"18C","ACMA",18,"T","C",,,,,,,,,,,,,,,,
19,"19S","ACMA",19,"T","S",,,,,,,,,,,,,,,,
19,"19C","ACMA",19,"T","C",,,,,,,,,,,,,,,,
20,"20S","ACMA",20,"T","S",,,,,,,,,,,,,,,,
20,"20C","ACMA",20,"T","C",,,,,,,,,,,,,,,,
21,"21S","ACMA",21,"T","S",,,,,,,,,,,,,,,,
21,"21C","ACMA",21,"T","C",,,,,,,,,,,,,,,,
22,"22S","ACMA",22,"T","S",,,,,,,,,,,,,,,,
22,"22C","ACMA",22,"T","C",,,,,,,,,,,,,,,,
23,"23S","ACMA",23,"T","S",,,,,,,,,,,,,,,,
23,"23C","ACMA",23,"T","C",,,,,,,,,,,,,,,,
24,"24S","ACMA",24,"T","S",,,,,,,,,,,,,,,,
24,"24C","ACMA",24,"T","C",,,,,,,,,,,,,,,,
25,"25S","ACMA",25,"T","S",,,,,,,,,,,,,,,,
