"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
421,"421S","PIPO",1,"T","S",,,,,,,,,,,,,,,,
421,"421C","PIPO",1,"T","C",,,,,,,,,,,,,,,,
422,"422S","PIPO",2,"T","S",,,,,,,,,,,,,,,,
422,"422C","PIPO",2,"T","C",,,,,,,,,,,,,,,,
423,"423S","PIPO",3,"T","S",,,,,,,,,,,,,,,,
423,"423C","PIPO",3,"T","C",,,,,,,,,,,,,,,,
424,"424S","PIPO",4,"T","S",,,,,,,,,,,,,,,,
424,"424C","PIPO",4,"T","C",,,,,,,,,,,,,,,,
425,"425S","PIPO",5,"T","S",,,,,,,,,,,,,,,,
425,"425C","PIPO",5,"T","C",,,,,,,,,,,,,,,,
426,"426S","PIPO",6,"T","S",,,,,,,,,,,,,,,,
426,"426C","PIPO",6,"T","C",,,,,,,,,,,,,,,,
427,"427S","PIPO",7,"T","S",,,,,,,,,,,,,,,,
427,"427C","PIPO",7,"T","C",,,,,,,,,,,,,,,,
428,"428S","PIPO",8,"T","S",,,,,,,,,,,,,,,,
428,"428C","PIPO",8,"T","C",,,,,,,,,,,,,,,,
429,"429S","PIPO",9,"T","S",,,,,,,,,,,,,,,,
429,"429C","PIPO",9,"T","C",,,,,,,,,,,,,,,,
430,"430S","PIPO",10,"T","S",,,,,,,,,,,,,,,,
430,"430C","PIPO",10,"T","C",,,,,,,,,,,,,,,,
431,"431S","PIPO",11,"T","S",,,,,,,,,,,,,,,,
431,"431C","PIPO",11,"T","C",,,,,,,,,,,,,,,,
432,"432S","PIPO",12,"T","S",,,,,,,,,,,,,,,,
432,"432C","PIPO",12,"T","C",,,,,,,,,,,,,,,,
433,"433S","PIPO",13,"T","S",,,,,,,,,,,,,,,,
433,"433C","PIPO",13,"T","C",,,,,,,,,,,,,,,,
434,"434S","PIPO",14,"T","S",,,,,,,,,,,,,,,,
434,"434C","PIPO",14,"T","C",,,,,,,,,,,,,,,,
435,"435S","PIPO",15,"T","S",,,,,,,,,,,,,,,,
435,"435C","PIPO",15,"T","C",,,,,,,,,,,,,,,,
436,"436S","PIPO",16,"T","S",,,,,,,,,,,,,,,,
436,"436C","PIPO",16,"T","C",,,,,,,,,,,,,,,,
437,"437S","PIPO",17,"T","S",,,,,,,,,,,,,,,,
437,"437C","PIPO",17,"T","C",,,,,,,,,,,,,,,,
438,"438S","PIPO",18,"T","S",,,,,,,,,,,,,,,,
438,"438C","PIPO",18,"T","C",,,,,,,,,,,,,,,,
439,"439S","PIPO",19,"T","S",,,,,,,,,,,,,,,,
439,"439C","PIPO",19,"T","C",,,,,,,,,,,,,,,,
440,"440S","PIPO",20,"T","S",,,,,,,,,,,,,,,,
440,"440C","PIPO",20,"T","C",,,,,,,,,,,,,,,,
441,"441S","PIPO",21,"T","S",,,,,,,,,,,,,,,,
441,"441C","PIPO",21,"T","C",,,,,,,,,,,,,,,,
442,"442S","PIPO",22,"T","S",,,,,,,,,,,,,,,,
442,"442C","PIPO",22,"T","C",,,,,,,,,,,,,,,,
443,"443S","PIPO",23,"T","S",,,,,,,,,,,,,,,,
443,"443C","PIPO",23,"T","C",,,,,,,,,,,,,,,,
444,"444S","PIPO",24,"T","S",,,,,,,,,,,,,,,,
444,"444C","PIPO",24,"T","C",,,,,,,,,,,,,,,,
445,"445S","PIPO",25,"T","S",,,,,,,,,,,,,,,,
445,"445C","PIPO",25,"T","C",,,,,,,,,,,,,,,,
446,"446S","PIPO",26,"T","S",,,,,,,,,,,,,,,,
446,"446C","PIPO",26,"T","C",,,,,,,,,,,,,,,,
447,"447S","PIPO",27,"T","S",,,,,,,,,,,,,,,,
447,"447C","PIPO",27,"T","C",,,,,,,,,,,,,,,,
448,"448S","PIPO",28,"T","S",,,,,,,,,,,,,,,,
448,"448C","PIPO",28,"T","C",,,,,,,,,,,,,,,,
449,"449S","PIPO",29,"T","S",,,,,,,,,,,,,,,,
449,"449C","PIPO",29,"T","C",,,,,,,,,,,,,,,,
450,"450S","PIPO",30,"T","S",,,,,,,,,,,,,,,,
450,"450C","PIPO",30,"T","C",,,,,,,,,,,,,,,,
451,"451S","PIPO",31,"T","S",,,,,,,,,,,,,,,,
451,"451C","PIPO",31,"T","C",,,,,,,,,,,,,,,,
