species,ind,trt,leafID,date_S,S1,S2,S3,date_C,C,prop_C,notes
PIPO,1,T,531,,,,,,,,
PIPO,2,T,532,,,,,,,,
PIPO,3,T,533,,,,,,,,
PIPO,4,T,534,,,,,,,,
PIPO,5,T,535,,,,,,,,
PIPO,6,T,536,,,,,,,,
PIPO,7,T,537,,,,,,,,
PIPO,8,T,538,,,,,,,,
PIPO,9,T,539,,,,,,,,
PIPO,10,T,540,,,,,,,,
PIPO,11,T,541,,,,,,,,
PIPO,12,T,542,,,,,,,,
PIPO,13,T,543,,,,,,,,
PIPO,14,T,544,,,,,,,,
PIPO,15,T,545,,,,,,,,
PIPO,16,T,546,,,,,,,,
PIPO,17,T,547,,,,,,,,
PIPO,18,T,548,,,,,,,,
PIPO,19,T,549,,,,,,,,
PIPO,20,T,550,,,,,,,,
PIPO,21,T,551,,,,,,,,
PIPO,22,T,552,,,,,,,,
PIPO,23,T,553,,,,,,,,
PIPO,24,T,554,,,,,,,,
PIPO,25,T,555,,,,,,,,
PIPO,26,T,556,,,,,,,,
PIPO,27,T,557,,,,,,,,
PIPO,28,T,558,,,,,,,,
PIPO,29,T,559,,,,,,,,
PIPO,30,T,560,,,,,,,,
PIPO,31,T,561,,,,,,,,
PIPO,32,T,562,,,,,,,,
PIPO,1,C,563,,,,,,,,
PIPO,2,C,564,,,,,,,,
PIPO,5,C,565,,,,,,,,
PIPO,6,C,566,,,,,,,,
PIPO,9,C,567,,,,,,,,
PIPO,13,C,568,,,,,,,,
PIPO,17,C,569,,,,,,,,
PIPO,21,C,570,,,,,,,,
PIPO,25,C,571,,,,,,,,
PIPO,29,C,572,,,,,,,,
SESE,1,T,573,,,,,,,,
SESE,2,T,574,,,,,,,,
SESE,3,T,575,,,,,,,,
SESE,4,T,576,,,,,,,,
SESE,5,T,577,,,,,,,,
SESE,6,T,578,,,,,,,,
SESE,7,T,579,,,,,,,,
SESE,8,T,580,,,,,,,,
SESE,9,T,581,,,,,,,,
SESE,10,T,582,,,,,,,,
SESE,11,T,583,,,,,,,,
SESE,12,T,584,,,,,,,,
SESE,13,T,585,,,,,,,,
SESE,14,T,586,,,,,,,,
SESE,15,T,587,,,,,,,,
SESE,16,T,588,,,,,,,,
SESE,17,T,589,,,,,,,,
SESE,18,T,590,,,,,,,,
SESE,19,T,591,,,,,,,,
SESE,20,T,592,,,,,,,,
SESE,21,T,593,,,,,,,,
SESE,22,T,594,,,,,,,,
SESE,23,T,595,,,,,,,,
SESE,24,T,596,,,,,,,,
SESE,25,T,597,,,,,,,,
SESE,26,T,598,,,,,,,,
SESE,27,T,599,,,,,,,,
SESE,28,T,600,,,,,,,,
SESE,29,T,601,,,,,,,,
SESE,30,T,602,,,,,,,,
SESE,31,T,603,,,,,,,,
SESE,32,T,604,,,,,,,,
SESE,1,C,605,,,,,,,,
SESE,2,C,606,,,,,,,,
SESE,5,C,607,,,,,,,,
SESE,6,C,608,,,,,,,,
SESE,9,C,609,,,,,,,,
SESE,13,C,610,,,,,,,,
SESE,17,C,611,,,,,,,,
SESE,21,C,612,,,,,,,,
SESE,25,C,613,,,,,,,,
SESE,29,C,614,,,,,,,,
PSME,1,T,615,,,,,,,,
PSME,2,T,616,,,,,,,,
PSME,3,T,617,,,,,,,,
PSME,4,T,618,,,,,,,,
PSME,5,T,619,,,,,,,,
PSME,6,T,620,,,,,,,,
PSME,7,T,621,,,,,,,,
PSME,8,T,622,,,,,,,,
PSME,9,T,623,,,,,,,,
PSME,10,T,624,,,,,,,,
PSME,11,T,625,,,,,,,,
PSME,12,T,626,,,,,,,,
PSME,13,T,627,,,,,,,,
PSME,14,T,628,,,,,,,,
PSME,15,T,629,,,,,,,,
PSME,16,T,630,,,,,,,,
PSME,17,T,631,,,,,,,,
PSME,18,T,632,,,,,,,,
PSME,19,T,633,,,,,,,,
PSME,20,T,634,,,,,,,,
