contrast,.value,.lower,.upper,.width,.point,.interval,signif
ACMA - ARME,3.28,2.77,3.76,0.9,median,hdci,TRUE
ACMA - CEOL,0.16,-0.3,0.65,0.9,median,hdci,FALSE
ACMA - LIDE,4.51,3.68,5.27,0.9,median,hdci,TRUE
ACMA - TODI,1.89,1.24,2.49,0.9,median,hdci,TRUE
ARME - CEOL,-3.12,-3.6,-2.62,0.9,median,hdci,TRUE
ARME - LIDE,1.22,0.39,2.02,0.9,median,hdci,TRUE
ARME - TODI,-1.39,-2.02,-0.76,0.9,median,hdci,TRUE
CEOL - LIDE,4.35,3.47,5.12,0.9,median,hdci,TRUE
CEOL - TODI,1.73,1.13,2.32,0.9,median,hdci,TRUE
LIDE - TODI,-2.62,-3.5,-1.65,0.9,median,hdci,TRUE
LIDED - PSME,-3.37,-4.59,-2.12,0.9,median,hdci,TRUE
