"species.ind","trt","rep1","rep2","rep3","rep4","rep5","rep6"
"ACMA.1","T",577,578,579,580,581,582
"ACMA.1","W",583,584,585,586,587,588
"ACMA.2","T",589,590,591,592,593,594
"ACMA.2","W",595,596,597,598,599,600
"ACMA.3","T",601,602,603,604,605,606
"ACMA.3","W",607,608,609,610,611,612
"ARME.1","T",613,614,615,616,617,618
"ARME.1","W",619,620,621,622,623,624
"ARME.2","T",625,626,627,628,629,630
"ARME.2","W",631,632,633,634,635,636
"ARME.3","T",637,638,639,640,641,642
"ARME.3","W",643,644,645,646,647,648
"CEOL.1","T",649,650,651,652,653,654
"CEOL.1","W",655,656,657,658,659,660
"HEAR.1","T",661,662,663,664,665,666
"HEAR.1","W",667,668,669,670,671,672
"HEAR.2","T",673,674,675,676,677,678
"HEAR.2","W",679,680,681,682,683,684
"HEAR.3","T",685,686,687,688,689,690
"HEAR.3","W",691,692,693,694,695,696
"LIDE.1","T",697,698,699,700,701,702
"LIDE.1","W",703,704,705,706,707,708
"LIDE.2","T",709,710,711,712,713,714
"LIDE.2","W",715,716,717,718,719,720
"LIDE.3","T",721,722,723,724,725,726
"LIDE.3","W",727,728,729,730,731,732
"QUAG.1","T",733,734,735,736,737,738
"QUAG.1","W",739,740,741,742,743,744
"QUAG.2","T",745,746,747,748,749,750
"QUAG.2","W",751,752,753,754,755,756
"QUAG.3","T",757,758,759,760,761,762
"QUAG.3","W",763,764,765,766,767,768
"QUCH.1","T",769,770,771,772,773,774
"QUCH.1","W",775,776,777,778,779,780
"QUCH.2","T",781,782,783,784,785,786
"QUCH.2","W",787,788,789,790,791,792
"QUCH.3","T",793,794,795,796,797,798
"QUCH.3","W",799,800,801,802,803,804
"QUKE.1","T",805,806,807,808,809,810
"QUKE.1","W",811,812,813,814,815,816
"QUKE.2","T",817,818,819,820,821,822
"QUKE.2","W",823,824,825,826,827,828
"QUKE.3","T",829,830,831,832,833,834
"QUKE.3","W",835,836,837,838,839,840
"QUPA.1","T",841,842,843,844,845,846
"QUPA.1","W",847,848,849,850,851,852
"QUPA.2","T",853,854,855,856,857,858
"QUPA.2","W",859,860,861,862,863,864
"QUPA.3","T",865,866,867,868,869,870
"QUPA.3","W",871,872,873,874,875,876
"RHCA.1","T",877,878,879,880,881,882
"RHCA.1","W",883,884,885,886,887,888
"RHCA.2","T",889,890,891,892,893,894
"RHCA.2","W",895,896,897,898,899,900
"RHCA.3","T",901,902,903,904,905,906
"RHCA.3","W",907,908,909,910,911,912
"TODI.1","T",913,914,915,916,917,918
"TODI.1","W",919,920,921,922,923,924
"TODI.2","T",925,926,927,928,929,930
"TODI.2","W",931,932,933,934,935,936
"TODI.3","T",937,938,939,940,941,942
"TODI.3","W",943,944,945,946,947,948
"UMCA.1","T",949,950,951,952,953,954
"UMCA.1","W",955,956,957,958,959,960
"UMCA.2","T",961,962,963,964,965,966
"UMCA.2","W",967,968,969,970,971,972
"UMCA.3","T",973,974,975,976,977,978
"UMCA.3","W",979,980,981,982,983,984
"VAOV.1","T",985,986,987,988,989,990
"VAOV.1","W",991,992,993,994,995,996
"VAOV.2","T",997,998,999,1000,1001,1002
"VAOV.2","W",1003,1004,1005,1006,1007,1008
"VAOV.3","T",1009,1010,1011,1012,1013,1014
"VAOV.3","W",1015,1016,1017,1018,1019,1020
