"species","trt","striptube","first","last"
"ACMA","T",1,1,8
"ACMA","T",2,9,16
"ACMA","T",3,17,24
"ACMA","T",4,25,32
"ACMA","C",1,33,40
"ACMA","C",2,41,42
"ARME","T",1,43,50
"ARME","T",2,51,58
"ARME","T",3,59,66
"ARME","T",4,67,74
"ARME","C",1,75,82
"ARME","C",2,83,84
"CEOL","T",1,85,92
"CEOL","T",2,93,100
"CEOL","T",3,101,108
"CEOL","T",4,109,116
"CEOL","C",1,117,124
"CEOL","C",2,125,126
"HEAR","T",1,127,134
"HEAR","T",2,135,142
"HEAR","T",3,143,150
"HEAR","T",4,151,158
"HEAR","C",1,159,166
"HEAR","C",2,167,168
"LIDE","T",1,169,176
"LIDE","T",2,177,184
"LIDE","T",3,185,192
"LIDE","T",4,193,200
"LIDE","C",1,201,208
"LIDE","C",2,209,216
"LIDE","C",3,217,224
"LIDE","C",4,225,232
"QUAG","T",1,233,240
"QUAG","T",2,241,248
"QUAG","T",3,249,256
"QUAG","T",4,257,264
"QUAG","C",1,265,272
"QUAG","C",2,273,280
"QUAG","C",3,281,288
"QUAG","C",4,289,296
"QUCH","T",1,297,304
"QUCH","T",2,305,312
"QUCH","T",3,313,320
"QUCH","T",4,321,328
"QUCH","C",1,329,336
"QUCH","C",2,337,344
"QUCH","C",3,345,352
"QUCH","C",4,353,360
"QUPA","T",1,361,368
"QUPA","T",2,369,376
"QUPA","T",3,377,384
"QUPA","T",4,385,392
"QUPA","C",1,393,400
"QUPA","C",2,401,408
"QUPA","C",3,409,416
"QUPA","C",4,417,424
"TODI","T",1,425,432
"TODI","T",2,433,440
"TODI","T",3,441,448
"TODI","T",4,449,456
"TODI","C",1,457,464
"TODI","C",2,465,466
"UMCA","T",1,467,474
"UMCA","T",2,475,482
"UMCA","T",3,483,490
"UMCA","T",4,491,498
"UMCA","C",1,499,506
"UMCA","C",2,507,514
"UMCA","C",3,515,522
"UMCA","C",4,523,530
