"Species","IV.mean","IV.sd","IV.se","n.stems","sum.BA","n.plots","IV.tot"
"ACMA",0.0831538382096703,0.0969787660750267,0.0292401981547737,38,1.71875984299183,11,0.00353624379657272
"AECA",0.0702134512529557,0.0653445126302055,0.0377266719571141,17,0.554981191812558,3,0.00129115314187416
"ALRU",0.0530179330704941,NA,NA,12,0.0497235577246925,1,0.000446411523252715
"ARCsp",0.00723410672862514,NA,NA,2,0.00260438030982594,1,6.6675982933692e-05
"ARME",0.264146397092991,0.22444087012174,0.0262688169167462,2182,49.1749013442897,73,0.135734436279164
"ARSP",0.0290584630053685,0.0296047586385885,0.0098682528795295,57,0.25193452506749,9,0.00214186380791796
"ARTCA",0.00258270494340687,NA,NA,1,0.00145220120412188,1,3.35419331561457e-05
"CEAsp",0.0639535689979717,0.0797051435049286,0.0230088930291842,193,0.679429101599211,12,0.00701624776612151
"CEOL",0.0498327240172159,0.0595589720072136,0.0119117944014427,243,0.913949778587852,25,0.00891346370765039
"CEPA",0.0064476923170264,0.00315018967239473,0.00157509483619736,12,0.0182440139375593,4,0.000403614733468309
"CETH",0.0909947219274445,0.0675920230206302,0.0390242726860322,27,0.214293532688504,3,0.00114366097608216
"GAEL",0.0114122053013568,0.0141053886058208,0.00997401593444738,2,0.00298844001172729,2,6.71981163686007e-05
"HEAR",0.0251256737353066,0.0256139428931681,0.00475638978759454,75,0.441025416090733,29,0.00296715266718484
"HODI",0.021926559153075,NA,NA,3,0.00479878277835841,1,0.00010122694696098
"LIDE",0.297676286158247,0.300302277000733,0.0329624572082044,2631,50.3178276742308,83,0.15146213194566
"LOHI",0.00958729817336852,0.00819105834619995,0.00259024008213239,14,0.00429848414827423,10,0.000447790929611825
"PICOU",0.0969937239391479,0.0723663799207077,0.0228842586570512,60,1.50780739409042,10,0.0039439398852152
"PILA",0.156058991272791,NA,NA,1,0.680752497504536,1,0.000957058238787509
"PINsp",0.00440451293886637,NA,NA,1,0.000314159265358979,1,3.19947524870605e-05
"PIPO",0.167928869556557,0.141759907135221,0.0354399767838053,208,8.60213228947281,16,0.0182607655808271
"PLRA",0.0697730949013415,0.05418747561486,0.0383163314626482,5,0.111063154286033,2,0.000308829840473378
"PSME",0.257117965368282,0.129043784381102,0.0526819043685723,46,6.54460979825541,6,0.0103495816628242
"QUAG",0.422055333382555,0.30522853475083,0.0303713743590377,1580,118.266380919956,101,0.210661345974339
"QUCH",0.260800239802149,0.277905612142902,0.0385385743969401,1717,36.0477603682556,52,0.103208985163062
"QUERsp",0.09398509883146,0.0953503399013123,0.0476751699506561,8,1.56288972348397,4,0.00237730715187282
"QUKE",0.244215807135342,0.147494966826078,0.0491649889420259,50,6.22156218188126,9,0.0100366654344448
"QULO",0.092229125892868,0.0742400762919239,0.0332011714487025,16,1.10639117817615,5,0.00200923349972319
"QUPA",0.31978759321576,0.258370940340618,0.0345262691947572,2597,41.2646969827884,56,0.138081000031193
"QUWI",0.0246335428115757,NA,NA,4,0.0012621348485797,1,0.000127986484250991
"RHCA",0.0108338180983866,0.0128870990890519,0.00357423819673553,18,0.0174413370145671,13,0.000591929382103846
"RHIL",0.00995935439752739,0.00888019116744249,0.00397134222071892,9,0.0152665695001196,5,0.000304863916232386
"SAME",0.00293409196601213,NA,NA,1,0.00407150407905237,1,3.71029045373736e-05
"SESE",0.0305254944243671,0.0283801869910154,0.0126920054652131,17,0.121874160005199,5,0.000702339316624763
"TODI",0.0152374248984277,0.0198655952532879,0.00335789847020617,76,0.0544477276775281,35,0.00247316365108985
"UMCA",0.291649999709999,0.242768826757838,0.0225405196918215,3913,41.2942742922238,116,0.179664237418457
"VICsp",0.00795067771367685,NA,NA,1,7.85398163397448e-05,1,3.16744252263803e-05
"XXsp",0.00384010330551337,NA,NA,2,0.00297587364111293,1,6.71810322480311e-05
