"Species","IV.mean","IV.sd","IV.se","n.stems","sum.BA","n.plots","IV.tot"
"ACMA",0.0356491224949387,0.0407647216322452,0.0108948301296481,44,1.32696239838469,14,0.00272203665960188
"AECA",0.0105006374137253,NA,NA,1,0.00331830724035422,1,4.18120582449782e-05
"ALRU",0.128842000624214,NA,NA,10,0.376311749019436,1,0.000674475855490653
"ARME",0.0356594530785967,0.0308291486231897,0.00726650001655513,111,2.31159015769668,18,0.00609296829748651
"ARSP",0.00606769290744048,NA,NA,4,0.0110756849002308,1,0.000165606423226846
"CEOL",0.0370454485321009,0.0567699889710884,0.0179522467891278,82,0.21335655267957,10,0.00338469999757129
"CETH",0.01508324920621,0.0102561399148404,0.00512806995742019,17,0.0826136766132874,4,0.000730381136333963
"HEAR",0.00453129499657243,0.00123716304719068,0.000618581523595339,5,0.0129951980115742,4,0.000206373426729076
"LIDE",0.392746221611299,0.247266170767244,0.0266633969132269,5764,75.9804236367183,86,0.283480739568467
"LOHI",0.0079441016208485,0.00773431222225996,0.00546898462017402,3,0.00203653743768958,2,0.000119520261250155
"PSME",0.0399631236289341,0.020519551775926,0.0083770719336065,10,2.33999565307227,6,0.00214156606885964
"QUAG",0.0431825075019063,0.0395775981998644,0.0114250684872853,44,2.06696140634511,12,0.00327489819716444
"QUCH",0.0236760008391548,0.0137546463055498,0.00972600367547674,6,0.0196757947894329,2,0.000250697489103031
"QUPA",0.0962664875851447,0.1583482119034,0.031054639324537,363,7.2157458806473,26,0.0196688121763166
"RHCA",0.00529893483370006,NA,NA,1,0.00132025431267111,1,4.03192905495526e-05
"SAME",0.0141334882854744,NA,NA,1,0.00567450173054657,1,4.35723975084516e-05
"SESE",0.585350809728182,0.218455701465041,0.0207348975763264,4717,557.217382175773,111,0.601836694386117
"TODI",0.00558717905974412,0.00329145983762153,0.00116370678559268,8,0.00223210158037555,8,0.000316330938320288
"UMCA",0.148553357985865,0.138516026897544,0.0167975355805727,1516,20.0398331213529,68,0.0746006808138528
"VAOV",0.00588765490687403,0.00656817934923674,0.00464440415789474,4,0.0134719346967564,2,0.000167396688257799
"XXsp",0.0129329757986614,NA,NA,1,0.00145220120412188,1,4.04178695483072e-05
