"species",".row","count","count.lower","count.upper","count_std","count_std.lower","count_std.upper",".width",".point",".interval"
"ACMA",1,1.24,0.85,1.83,103.89,70.67,153.13,0.9,"median","qi"
"ARME",2,0.26,0.15,0.41,21.41,12.89,34.05,0.9,"median","qi"
"CEOL",3,0.57,0.37,0.87,47.7,31.2,72.49,0.9,"median","qi"
"HEAR",4,0.48,0.32,0.74,40.21,26.55,61.9,0.9,"median","qi"
"LIDE",5,6.11,4.33,8.61,510.29,361.84,719.19,0.9,"median","qi"
"QUAG",6,0.78,0.52,1.14,65.27,43.15,95.5,0.9,"median","qi"
"QUCH",7,1.24,0.82,1.81,103.54,68.61,151.54,0.9,"median","qi"
"QUPA",8,1.3,0.9,1.9,108.58,75.07,159.13,0.9,"median","qi"
"TODI",9,1.05,0.72,1.5,87.52,59.8,125.57,0.9,"median","qi"
"UMCA",10,9.57,6.54,13.82,799.59,546.16,1154.44,0.9,"median","qi"
"ACMA",1,1.24,0.77,1.98,103.89,64.68,165.29,0.95,"median","qi"
"ARME",2,0.26,0.14,0.45,21.41,11.71,37.35,0.95,"median","qi"
"CEOL",3,0.57,0.34,0.93,47.7,28.81,77.83,0.95,"median","qi"
"HEAR",4,0.48,0.29,0.8,40.21,24.53,67.1,0.95,"median","qi"
"LIDE",5,6.11,4.07,9.15,510.29,340.26,764.67,0.95,"median","qi"
"QUAG",6,0.78,0.47,1.22,65.27,39.57,102.2,0.95,"median","qi"
"QUCH",7,1.24,0.76,1.95,103.54,63.1,163.16,0.95,"median","qi"
"QUPA",8,1.3,0.82,2.05,108.58,68.59,171.47,0.95,"median","qi"
"TODI",9,1.05,0.66,1.62,87.52,55.16,135.1,0.95,"median","qi"
"UMCA",10,9.57,6.09,14.57,799.59,508.41,1216.97,0.95,"median","qi"
