#contrasts between species coefs for brms model
> diffsdf
   V1 V2          5%         95%  sp1  sp2   sig
1   1  2  1.04471899  2.25085319 ACMA ARME  TRUE
2   1  3  0.25951231  1.37938211 ACMA CEOL  TRUE
3   1  4  0.42612322  1.56368379 ACMA HEAR  TRUE
4   1  5 -2.07013274 -1.04753798 ACMA LIDE  TRUE
5   1  6 -0.03326453  1.05214200 ACMA QUAG FALSE
6   1  7 -0.48733775  0.58687493 ACMA QUCH FALSE
7   1  8 -0.52504856  0.53564505 ACMA QUPA FALSE
8   1  9 -0.33241550  0.78239429 ACMA TODI FALSE
9   1 10 -2.54874462 -1.47494777 ACMA UMCA  TRUE
10  2  3 -1.40542047 -0.17919377 ARME CEOL  TRUE
11  2  4 -1.28415486 -0.03163361 ARME HEAR  TRUE
12  2  5 -3.80235222 -2.62718623 ARME LIDE  TRUE
13  2  6 -1.74109677 -0.52535726 ARME QUAG  TRUE
14  2  7 -2.21985605 -0.97782682 ARME QUCH  TRUE
15  2  8 -2.24075712 -1.04043929 ARME QUPA  TRUE
16  2  9 -2.02892439 -0.79914505 ARME TODI  TRUE
17  2 10 -4.23944092 -3.06967717 ARME UMCA  TRUE
18  3  4 -0.44452094  0.70224491 CEOL HEAR FALSE
19  3  5 -2.94147317 -1.86952074 CEOL LIDE  TRUE
20  3  6 -0.86326293  0.21821593 CEOL QUAG FALSE
21  3  7 -1.34556821 -0.21946606 CEOL QUCH  TRUE
22  3  8 -1.37938701 -0.29094887 CEOL QUPA  TRUE
23  3  9 -1.16779077 -0.03328553 CEOL TODI  TRUE
24  3 10 -3.36670335 -2.33775481 CEOL UMCA  TRUE
25  4  5 -3.09793712 -2.01671455 HEAR LIDE  TRUE
26  4  6 -1.05235474  0.10109899 HEAR QUAG FALSE
27  4  7 -1.50314620 -0.35994040 HEAR QUCH  TRUE
28  4  8 -1.53518681 -0.43935663 HEAR QUPA  TRUE
29  4  9 -1.31184824 -0.17346531 HEAR TODI  TRUE
30  4 10 -3.53720630 -2.44627740 HEAR UMCA  TRUE
31  5  6  1.57791392  2.61699387 LIDE QUAG  TRUE
32  5  7  1.09922671  2.12966192 LIDE QUCH  TRUE
33  5  8  1.06095768  2.10985807 LIDE QUPA  TRUE
34  5  9  1.28208296  2.33419216 LIDE TODI  TRUE
35  5 10 -0.92558438  0.06676547 LIDE UMCA FALSE
36  6  7 -1.03904765  0.07188223 QUAG QUCH FALSE
37  6  8 -1.05684385  0.01073304 QUAG QUPA FALSE
38  6  9 -0.84298937  0.25850515 QUAG TODI FALSE
39  6 10 -3.04745891 -2.01296899 QUAG UMCA  TRUE
40  7  8 -0.57405048  0.48561604 QUCH QUPA FALSE
41  7  9 -0.38725887  0.73861448 QUCH TODI FALSE
42  7 10 -2.60953785 -1.53808890 QUCH UMCA  TRUE
43  8  9 -0.33075237  0.78758891 QUPA TODI FALSE
44  8 10 -2.52518161 -1.49863509 QUPA UMCA  TRUE
45  9 10 -2.77476562 -1.69547007 TODI UMCA  TRUE
