V1,V2,V3,V4,mean,sp1,sp2,sig,assay
1,2,-3.84,-1.42,-2.66,CONTROL,ACMA,TRUE,broad
1,3,-2.38,0.0715,-1.14,CONTROL,ARME,FALSE,broad
1,4,-3.08,-0.692,-1.89,CONTROL,CEOL,TRUE,broad
1,5,-2.97,-0.555,-1.74,CONTROL,HEAR,TRUE,broad
1,6,-5.41,-3.02,-4.22,CONTROL,LIDE,TRUE,broad
1,7,-3.51,-1.07,-2.21,CONTROL,QUAG,TRUE,broad
1,8,-3.82,-1.41,-2.65,CONTROL,QUCH,TRUE,broad
1,9,-3.83,-1.43,-2.68,CONTROL,QUPA,TRUE,broad
1,10,-3.67,-1.28,-2.46,CONTROL,TODI,TRUE,broad
1,11,-5.88,-3.49,-4.61,CONTROL,UMCA,TRUE,broad
2,3,0.916,2.11,1.53,ACMA,ARME,TRUE,broad
2,4,0.24,1.33,0.773,ACMA,CEOL,TRUE,broad
2,5,0.376,1.48,0.933,ACMA,HEAR,TRUE,broad
2,6,-2.03,-1.01,-1.56,ACMA,LIDE,TRUE,broad
2,7,-0.0959,1,0.46,ACMA,QUAG,FALSE,broad
2,8,-0.518,0.549,0.01,ACMA,QUCH,FALSE,broad
2,9,-0.53,0.499,-0.013,ACMA,QUPA,FALSE,broad
2,10,-0.338,0.722,0.206,ACMA,TODI,FALSE,broad
2,11,-2.46,-1.41,-1.95,ACMA,UMCA,TRUE,broad
3,4,-1.38,-0.168,-0.754,ARME,CEOL,TRUE,broad
3,5,-1.17,0.0581,-0.594,ARME,HEAR,FALSE,broad
3,6,-3.65,-2.51,-3.08,ARME,LIDE,TRUE,broad
3,7,-1.69,-0.496,-1.07,ARME,QUAG,TRUE,broad
3,8,-2.1,-0.942,-1.51,ARME,QUCH,TRUE,broad
3,9,-2.13,-0.971,-1.54,ARME,QUPA,TRUE,broad
3,10,-1.94,-0.752,-1.32,ARME,TODI,TRUE,broad
3,11,-4.05,-2.91,-3.47,ARME,UMCA,TRUE,broad
4,5,-0.357,0.776,0.163,CEOL,HEAR,FALSE,broad
4,6,-2.88,-1.82,-2.32,CEOL,LIDE,TRUE,broad
4,7,-0.851,0.23,-0.304,CEOL,QUAG,FALSE,broad
4,8,-1.28,-0.171,-0.761,CEOL,QUCH,TRUE,broad
4,9,-1.32,-0.247,-0.784,CEOL,QUPA,TRUE,broad
4,10,-1.1,-0.0324,-0.564,CEOL,TODI,TRUE,broad
4,11,-3.26,-2.23,-2.72,CEOL,UMCA,TRUE,broad
5,6,-3.03,-1.95,-2.48,HEAR,LIDE,TRUE,broad
5,7,-1.04,0.0719,-0.474,HEAR,QUAG,FALSE,broad
5,8,-1.5,-0.36,-0.928,HEAR,QUCH,TRUE,broad
5,9,-1.48,-0.406,-0.95,HEAR,QUPA,TRUE,broad
5,10,-1.29,-0.2,-0.728,HEAR,TODI,TRUE,broad
5,11,-3.41,-2.35,-2.88,HEAR,UMCA,TRUE,broad
6,7,1.47,2.52,2.01,LIDE,QUAG,TRUE,broad
6,8,1.05,2.09,1.57,LIDE,QUCH,TRUE,broad
6,9,1.03,2.04,1.54,LIDE,QUPA,TRUE,broad
6,10,1.2,2.22,1.75,LIDE,TODI,TRUE,broad
6,11,-0.89,0.106,-0.4,LIDE,UMCA,FALSE,broad
7,8,-1.03,0.0637,-0.45,QUAG,QUCH,FALSE,broad
7,9,-0.993,0.0623,-0.469,QUAG,QUPA,FALSE,broad
7,10,-0.772,0.283,-0.256,QUAG,TODI,FALSE,broad
7,11,-2.93,-1.9,-2.41,QUAG,UMCA,TRUE,broad
8,9,-0.54,0.511,-0.0215,QUCH,QUPA,FALSE,broad
8,10,-0.312,0.753,0.191,QUCH,TODI,FALSE,broad
8,11,-2.48,-1.44,-1.96,QUCH,UMCA,TRUE,broad
9,10,-0.337,0.722,0.217,QUPA,TODI,FALSE,broad
9,11,-2.44,-1.43,-1.94,QUPA,UMCA,TRUE,broad
10,11,-2.66,-1.66,-2.16,TODI,UMCA,TRUE,broad
1,2,2.82,5.51,4.07,LIDED,PIPO,TRUE,conif
1,3,0.383,2.25,1.31,LIDED,PSME,TRUE,conif
1,4,0.521,2.39,1.46,LIDED,SESE,TRUE,conif
1,5,-0.731,1.59,0.439,LIDED,UMCAD,FALSE,conif
2,3,-3.93,-1.6,-2.77,PIPO,PSME,TRUE,conif
2,4,-3.85,-1.5,-2.62,PIPO,SESE,TRUE,conif
2,5,-5.03,-2.27,-3.63,PIPO,UMCAD,TRUE,conif
3,4,-0.605,0.828,0.155,PSME,SESE,FALSE,conif
3,5,-1.87,0.14,-0.845,PSME,UMCAD,FALSE,conif
4,5,-2,-0.0631,-1.01,SESE,UMCAD,TRUE,conif
