V1,V2,V3,V4,sp1,sp2,sig
1,2,0.9409050427346585,2.122096626793005,ACMA,ARME,TRUE
1,3,0.242837816764261,1.3151008801741133,ACMA,CEOL,TRUE
1,4,0.3523195321244087,1.4447277753739094,ACMA,HEAR,TRUE
1,5,-2.0326211573844257,-1.0153942377252898,ACMA,LIDE,TRUE
1,6,-0.04999756679782507,1.0225777910558749,ACMA,QUAG,FALSE
1,7,-0.5157292930262771,0.5141265779200517,ACMA,QUCH,FALSE
1,8,-0.5565518970318344,0.468717435593284,ACMA,QUPA,FALSE
1,9,-0.4076730756383065,0.6872403613981988,ACMA,TODI,FALSE
1,10,-2.502735023496275,-1.4882559968203473,ACMA,UMCA,TRUE
2,3,-1.3822256426362796,-0.16804956994464626,ARME,CEOL,TRUE
2,4,-1.2569661117383246,-0.020446970692328925,ARME,HEAR,TRUE
2,5,-3.656294468886401,-2.505900603950802,ARME,LIDE,TRUE
2,6,-1.640536237094183,-0.4248604719717787,ARME,QUAG,TRUE
2,7,-2.0658278851699476,-0.8912739707963266,ARME,QUCH,TRUE
2,8,-2.1343051005352023,-0.9388785728198186,ARME,QUPA,TRUE
2,9,-1.9494000041190094,-0.7664599338550597,ARME,TODI,TRUE
2,10,-4.060892697783404,-2.896344470675521,ARME,UMCA,TRUE
3,4,-0.45159593710078083,0.7130351726667311,CEOL,HEAR,FALSE
3,5,-2.8093518378820965,-1.7467851619228867,CEOL,LIDE,TRUE
3,6,-0.8207787002014943,0.2969011244686385,CEOL,QUAG,FALSE
3,7,-1.2979657003098948,-0.22025582843186942,CEOL,QUCH,TRUE
3,8,-1.32140979763518,-0.23851343980016898,CEOL,QUPA,TRUE
3,9,-1.1380358845138745,-0.04688046899557813,CEOL,TODI,TRUE
3,10,-3.30902349715861,-2.231321734532693,CEOL,UMCA,TRUE
4,5,-2.9743263933237714,-1.939059464407396,HEAR,LIDE,TRUE
4,6,-0.9889862068990091,0.13703958018525253,HEAR,QUAG,FALSE
4,7,-1.4161156770822623,-0.3032217802009168,HEAR,QUCH,TRUE
4,8,-1.4603371269105776,-0.3822274282194617,HEAR,QUPA,TRUE
4,9,-1.2658945104599157,-0.1430160774736936,HEAR,TODI,TRUE
4,10,-3.4414955002276812,-2.388629249744196,HEAR,UMCA,TRUE
5,6,1.4864413468119217,2.531393055459578,LIDE,QUAG,TRUE
5,7,1.0457785517627873,2.0478495614260828,LIDE,QUCH,TRUE
5,8,1.0064454366336593,1.9966123316411166,LIDE,QUPA,TRUE
5,9,1.1876678761650423,2.208464995361883,LIDE,TODI,TRUE
5,10,-0.9509622457850955,0.0418130420073799,LIDE,UMCA,FALSE
6,7,-0.9589850884626817,0.12395864169712803,QUAG,QUCH,FALSE
6,8,-1.0246634405673396,0.01723731967643316,QUAG,QUPA,FALSE
6,9,-0.8110718020480034,0.2719499140018495,QUAG,TODI,FALSE
6,10,-2.9918405196732447,-1.9405462548708627,QUAG,UMCA,TRUE
7,8,-0.5500648474123958,0.4805516107806076,QUCH,QUPA,FALSE
7,9,-0.4003683209365583,0.6882268902872823,QUCH,TODI,FALSE
7,10,-2.543441293610549,-1.520337431201003,QUCH,UMCA,TRUE
8,9,-0.30638343258732625,0.7333833108767664,QUPA,TODI,FALSE
8,10,-2.479403324916864,-1.471996401070392,QUPA,UMCA,TRUE
9,10,-2.6854686352969646,-1.672735167606584,TODI,UMCA,TRUE
