species,leaf_area_cm2,.row,x,.lower,.upper,.width,.point,.interval
ACMA,1,1,110.8,71.59,153.5,0.9,median,hdci
ARME,1,2,24.14,14,36.44,0.9,median,hdci
CEOL,1,3,51.52,32.19,73.3,0.9,median,hdci
HEAR,1,4,44.51,27.32,63.42,0.9,median,hdci
LIDE,1,5,515.9,340,692.7,0.9,median,hdci
QUAG,1,6,69.23,44.49,98.62,0.9,median,hdci
QUCH,1,7,108.7,70.26,150.1,0.9,median,hdci
QUPA,1,8,114.1,74.25,156.5,0.9,median,hdci
TODI,1,9,92.87,60.27,131.5,0.9,median,hdci
UMCA,1,10,819.2,545.3,1110,0.9,median,hdci
ACMA,1,1,110.8,66.76,164.9,0.95,median,hdci
ARME,1,2,24.14,12.61,39.6,0.95,median,hdci
CEOL,1,3,51.52,29.9,78.99,0.95,median,hdci
HEAR,1,4,44.51,25.56,68.97,0.95,median,hdci
LIDE,1,5,515.9,335,755.3,0.95,median,hdci
QUAG,1,6,69.23,41.32,106.8,0.95,median,hdci
QUCH,1,7,108.7,66.35,163.1,0.95,median,hdci
QUPA,1,8,114.1,70.72,169.3,0.95,median,hdci
TODI,1,9,92.87,54.24,139.3,0.95,median,hdci
UMCA,1,10,819.2,519.5,1209,0.95,median,hdci
