species,leaf_area_cm2,.row,x,.lower,.upper,.width,.point,.interval
LIDED,1,1,277.6,95.95,522.4,0.9,median,hdci
PIPO,1,2,4.947,0.8758,10.6,0.9,median,hdci
PSME,1,3,74.51,40.14,116,0.9,median,hdci
SESE,1,4,60.65,34.01,93.73,0.9,median,hdci
UMCAD,1,5,183.8,53.76,364.4,0.9,median,hdci
LIDED,1,1,277.6,73.48,599.6,0.95,median,hdci
PIPO,1,2,4.947,0.7121,12.6,0.95,median,hdci
PSME,1,3,74.51,34.46,125.5,0.95,median,hdci
SESE,1,4,60.65,29.53,102.1,0.95,median,hdci
UMCAD,1,5,183.8,45.72,442.5,0.95,median,hdci
