"V1","V2","3%","98%","sp1","sp2","sig"
1,2,0.810599328867458,2.22070316088684,"ACMA","ARME",TRUE
1,3,0.127165395002684,1.38223982655429,"ACMA","CEOL",TRUE
1,4,0.272972343415211,1.560740282881,"ACMA","HEAR",TRUE
1,5,-2.1727956065532,-0.953395718021412,"ACMA","LIDE",TRUE
1,6,-0.194545120541331,1.08796683946952,"ACMA","QUAG",FALSE
1,7,-0.582729577933003,0.606365853488799,"ACMA","QUCH",FALSE
1,8,-0.621049700247753,0.599333904893397,"ACMA","QUPA",FALSE
1,9,-0.447149937916408,0.818787300231265,"ACMA","TODI",FALSE
1,10,-2.56135339809137,-1.36292711368742,"ACMA","UMCA",TRUE
2,3,-1.47440221126658,0.00735028861233578,"ARME","CEOL",FALSE
2,4,-1.32059183704624,0.126721699160452,"ARME","HEAR",FALSE
2,5,-3.75912951252322,-2.42056016077243,"ARME","LIDE",TRUE
2,6,-1.77371076485581,-0.332053382909233,"ARME","QUAG",TRUE
2,7,-2.21457821541449,-0.787360910206451,"ARME","QUCH",TRUE
2,8,-2.21548712270004,-0.801276708538592,"ARME","QUPA",TRUE
2,9,-2.03668458677624,-0.606860817053527,"ARME","TODI",TRUE
2,10,-4.17748642026916,-2.78005721352488,"ARME","UMCA",TRUE
3,4,-0.535827720469155,0.833786331262942,"CEOL","HEAR",FALSE
3,5,-2.98166264089444,-1.7131303713419,"CEOL","LIDE",TRUE
3,6,-0.951623215380177,0.364648698658789,"CEOL","QUAG",FALSE
3,7,-1.41900874957542,-0.1239716508823,"CEOL","QUCH",TRUE
3,8,-1.40992058074745,-0.122474076317943,"CEOL","QUPA",TRUE
3,9,-1.23244043743721,0.0929538855338952,"CEOL","TODI",FALSE
3,10,-3.35324429981909,-2.08796798098465,"CEOL","UMCA",TRUE
4,5,-3.13508063395108,-1.87727170260598,"HEAR","LIDE",TRUE
4,6,-1.11531287724922,0.206625558119591,"HEAR","QUAG",FALSE
4,7,-1.54485963008496,-0.268157378410724,"HEAR","QUCH",TRUE
4,8,-1.57445648896251,-0.285328627529885,"HEAR","QUPA",TRUE
4,9,-1.39008424385956,-0.0249386851001239,"HEAR","TODI",TRUE
4,10,-3.52507490835088,-2.25011031872507,"HEAR","UMCA",TRUE
5,6,1.43691424350545,2.66444287655347,"LIDE","QUAG",TRUE
5,7,0.966519173759824,2.1868490817246,"LIDE","QUCH",TRUE
5,8,0.986101931398756,2.17381414000167,"LIDE","QUPA",TRUE
5,9,1.14363540679474,2.44106538516686,"LIDE","TODI",TRUE
5,10,-0.970100226315488,0.202900479150305,"LIDE","UMCA",FALSE
6,7,-1.08404099513304,0.17488438566245,"QUAG","QUCH",FALSE
6,8,-1.11781441753073,0.154842804901148,"QUAG","QUPA",FALSE
6,9,-0.939128666741868,0.414425040234705,"QUAG","TODI",FALSE
6,10,-3.06142118713826,-1.82566018136175,"QUAG","UMCA",TRUE
7,8,-0.635679217133778,0.582670820251473,"QUCH","QUPA",FALSE
7,9,-0.466674770822401,0.823072951187324,"QUCH","TODI",FALSE
7,10,-2.5669947462422,-1.37098183760141,"QUCH","UMCA",TRUE
8,9,-0.423942218173569,0.862305447475721,"QUPA","TODI",FALSE
8,10,-2.57922639008849,-1.34880364419036,"QUPA","UMCA",TRUE
9,10,-2.79826529225143,-1.53474500467419,"TODI","UMCA",TRUE
