"species.ind","trt","rep1","rep2","rep3","rep4","rep5","rep6"
"SESE.1","T",445,446,447,448,449,450
"SESE.1","W",451,452,453,454,455,456
"SESE.2","T",457,458,459,460,461,462
"SESE.2","W",463,464,465,466,467,468
"SESE.3","T",469,470,471,472,473,474
"SESE.3","W",475,476,477,478,479,480
"PSME.1","T",481,482,483,484,485,486
"PSME.1","W",487,488,489,490,491,492
"PSME.2","T",493,494,495,496,497,498
"PSME.2","W",499,500,501,502,503,504
"PSME.3","T",505,506,507,508,509,510
"PSME.3","W",511,512,513,514,515,516
"PIPO.1","T",517,518,519,520,521,522
"PIPO.1","W",523,524,525,526,527,528
"PIPO.2","T",529,530,531,532,533,534
"PIPO.2","W",535,536,537,538,539,540
"PIPO.3","T",541,542,543,544,545,546
"PIPO.3","W",547,548,549,550,551,552
"UMCA.1","T",553,554,555,556,557,558
"UMCA.1","W",559,560,561,562,563,564
"LIDE.1","T",565,566,567,568,569,570
"LIDE.1","W",571,572,573,574,575,576
